block	currier	hand	joint_class	source	target	source_count	target_count	edge_count	opportunities	block_tokens	p_target_given_source	p_target_baseline	enrichment	log2_enrichment	sign
G0/generic#5	G0	generic	G0/generic	x000000	x000214	5	0	0	5	657	0.001531393568	0.0005109862034	2.996937213	1.583488859	preferred
G1/generic#5	G1	generic	G1/generic	x000000	x000214	6	1	0	6	607	0.001526717557	0.001615508885	0.9450381679	-0.08155549721	depleted
G2/generic#5	G2	generic	G2/generic	x000000	x000214	9	0	0	9	640	0.001512859304	0.0005200208008	2.909228442	1.540636586	preferred
G3/generic#5	G3	generic	G3/generic	x000000	x000214	5	0	0	5	601	0.001531393568	0.0005420054201	2.825421133	1.498465919	preferred
G0/generic#6	G0	generic	G0/generic	x000000	x000214	10	0	0	10	744	0.001508295626	0.0004692632567	3.214177979	1.684449818	preferred
G1/generic#6	G1	generic	G1/generic	x000000	x000214	9	0	0	9	676	0.001512859304	0.0005012531328	3.018154312	1.59366657	preferred
G2/generic#6	G2	generic	G2/generic	x000000	x000214	9	0	0	9	522	0.001512859304	0.0005927682276	2.552193646	1.351737797	preferred
G3/generic#6	G3	generic	G3/generic	x000000	x000214	5	0	0	5	592	0.001531393568	0.0005473453749	2.797856049	1.484321737	preferred
G0/generic#7	G0	generic	G0/generic	x000000	x000214	5	0	0	5	709	0.001531393568	0.0004852013586	3.156202144	1.658189608	preferred
G1/generic#7	G1	generic	G1/generic	x000000	x000214	11	0	0	11	710	0.001503759398	0.0004847309743	3.102255639	1.633317575	preferred
G2/generic#7	G2	generic	G2/generic	x000000	x000214	10	0	0	10	659	0.001508295626	0.0005099439062	2.957767722	1.56450876	preferred
G3/generic#7	G3	generic	G3/generic	x000000	x000214	5	0	0	5	554	0.001531393568	0.0005711022273	2.681470138	1.423024187	preferred
G0/generic#8	G0	generic	G0/generic	x000000	x000214	9	4	0	9	598	0.001512859304	0.004893964111	0.3091275845	-1.693725699	depleted
G1/generic#8	G1	generic	G1/generic	x000000	x000214	7	0	0	7	605	0.001522070015	0.0005396654074	2.820395738	1.495897606	preferred
G3/generic#8	G3	generic	G3/generic	x000000	x000214	6	1	0	6	645	0.001526717557	0.001551991723	0.9837150127	-0.02368767493	depleted
G3/generic#9	G3	generic	G3/generic	x000000	x000214	6	0	0	6	678	0.001526717557	0.0005002501251	3.051908397	1.60971166	preferred
G0/generic#10	G0	generic	G0/generic	x000000	x000214	6	2	0	6	629	0.001526717557	0.002630194634	0.5804580153	-0.7847363747	depleted
G3/generic#10	G3	generic	G3/generic	x000000	x000214	5	0	0	5	735	0.001531393568	0.0004732607667	3.235834609	1.69413787	preferred
G0/generic#11	G0	generic	G0/generic	x000000	x000214	8	0	0	8	695	0.001517450683	0.0004918839154	3.084977238	1.625259845	preferred
G1/generic#11	G1	generic	G1/generic	x000000	x000214	11	0	0	11	701	0.001503759398	0.000488997555	3.07518797	1.620674597	preferred
G2/generic#11	G2	generic	G2/generic	x000000	x000214	9	3	0	9	852	0.001512859304	0.00298253089	0.5072401124	-0.979259257	depleted
