scale	null_kind	metric_id	observed_delta	null_mean_delta	null_sd_delta	effect_size	p_value	n_replicates
koeln-edd-c-119-06.xml	NULL_RANDOM_DELETION_MATCHED	cs7/edit-distance-x-structural-distance	-0.00249383	-0.0195556	0.0039592	4.30941	0.25	3
koeln-edd-c-119-06.xml	NULL_FREQUENCY_MATCHED_DELETION	cs7/edit-distance-x-structural-distance	-0.00249383	-0.00255055	0.00781705	0.00725553	1	3
koeln-edd-c-119-06.xml	NULL_POSITION_MATCHED	cs7/edit-distance-x-structural-distance	-0.00249383	-0.016096	0.0103396	1.31554	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0346355	0.268526	0.0121267	-19.2872	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_GIANT_COMPONENT_SHARE	0.0346355	0.255726	0.0175408	-12.6044	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	EF1_GIANT_COMPONENT_SHARE	0.0346355	0.266796	0.015466	-15.011	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	EF2_GLOBAL_CLUSTERING	-0.0428571	-0.0960886	0.0133734	3.98041	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	EF2_GLOBAL_CLUSTERING	-0.0428571	-0.103379	0.0041073	14.7353	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	EF2_GLOBAL_CLUSTERING	-0.0428571	-0.105225	0.0275416	2.2645	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.116364	0.218511	0.0546262	-1.86993	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	EF3_DEGREE_FREQUENCY_SPEARMAN	0.116364	0.208991	0.0294781	-3.14221	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	EF3_DEGREE_FREQUENCY_SPEARMAN	0.116364	0.223392	0.0429835	-2.48997	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	2DL1_LAYOUT_POSITION_MI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	BP1_BOUNDARY_TOKEN_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LS2_POSITIONAL_LEXICON_NMI	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LS3_BOUNDARY_LENGTH_ASYMMETRY	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	EF1_ISOLATE_SHARE	-0.0454953	-0.152086	0.00449032	23.7378	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	EF1_ISOLATE_SHARE	-0.0454953	-0.139467	0.0172314	5.45352	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	EF1_ISOLATE_SHARE	-0.0454953	-0.151758	0.00787916	13.4865	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.119985	0.0555816	0.0166068	-10.572	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LP1_RULE_SUPPORT_GINI	-0.119985	0.0364852	0.0278096	-5.6265	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LP1_RULE_SUPPORT_GINI	-0.119985	0.0445496	0.00978745	-16.8108	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0395616	-0.0493083	0.0050775	17.5027	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_PREFIX_ATTACHMENT_NMI	0.0395616	-0.0518479	0.00267726	34.1429	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LP4_PREFIX_ATTACHMENT_NMI	0.0395616	-0.046507	0.00462447	18.6116	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0885468	0.00123005	0.00580496	15.0418	0.25	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LP4_SUFFIX_ATTACHMENT_NMI	0.0885468	0.0151047	0.00333436	22.0258	0.25	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LP4_SUFFIX_ATTACHMENT_NMI	0.0885468	0.00284859	0.00456211	18.7848	0.25	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_FREQUENCY_MATCHED_DELETION	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_POSITION_MATCHED	LS1_LINE_LENGTH_CV	0	0	0	0	1	3
koeln-edd-c-119-07.xml	NULL_RANDOM_DELETION_MATCHED	LS4_WITHIN_LINE_EXACT_REPETITION	0	0	0	0	1	3
