window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
200	k_medoids	13	0.008665926000734438	0.8059812462071505	0.8186544671262155	208,118,120,42,383,15,123,284,224,31,17,338,273	163	12.615384615384615
200	contiguous_segmentation	13	-0.021897668393283335	0.8131996483675027	0.8173338677256983	5,53,42,160,216,105,22,98,148,702,31,93,501	12	1
200	k_medoids	14	0.013081267962805255	0.8069548668678089	0.8183163160696465	272,125,74,16,260,226,16,256,106,16,273,383,138,15	172	12.357142857142858
200	contiguous_segmentation	14	-0.02210853780706073	0.8133545045384176	0.8175511515918514	5,53,42,160,216,105,22,98,148,92,610,31,93,501	13	1
200	k_medoids	15	0.026525218154194244	0.8057376074256245	0.8193243482273389	188,15,16,334,282,334,16,41,581,171,80,70,17,16,15	152	10.2
200	contiguous_segmentation	15	-0.02265998630659337	0.8129026817404584	0.8175964385335266	5,53,42,160,216,105,22,98,148,92,31,579,31,93,501	14	1
500	k_medoids	2	0.031313976170776414	0.6942034708415069	0.7168374449670609	811,54	6	3.5
500	contiguous_segmentation	2	0.011205446656912244	0.6912785274074815	0.6991383333155877	622,243	1	1
500	k_medoids	3	0.019366341168444285	0.6873404177233446	0.7040135376189286	440,24,401	37	12.666666666666666
500	contiguous_segmentation	3	0.012656736130927233	0.6869938103626708	0.6995442882985698	5,617,243	2	1
500	k_medoids	4	0.021116207417362795	0.6843708793610881	0.7133529082741169	662,25,133,45	22	5.75
500	contiguous_segmentation	4	0.020357618538977086	0.6809495548454463	0.7032359946250707	5,277,340,243	3	1
500	k_medoids	5	0.013110288392918619	0.681328018325588	0.7021209668731354	269,23,279,182,112	58	11.8
500	contiguous_segmentation	5	0.026436292455853314	0.6758305463664143	0.7038902927498719	5,277,196,144,243	4	1
500	k_medoids	6	0.016340026629672034	0.6765197416611684	0.702038083094519	151,243,23,137,175,136	61	10.333333333333334
500	contiguous_segmentation	6	0.03235161394009824	0.670745817271753	0.7042075374542577	5,277,174,22,144,243	5	1
500	k_medoids	7	0.01932969598785172	0.6741936433505935	0.7026114041681486	308,24,131,58,40,155,149	66	9.571428571428571
500	contiguous_segmentation	7	0.034404340739370834	0.6653300474679931	0.7039402903740313	5,40,237,174,22,144,243	6	1
500	k_medoids	8	0.02160844799119913	0.6709630932252181	0.7027420132121299	131,203,24,224,61,76,54,92	64	8.125
500	contiguous_segmentation	8	0.041284554492707334	0.6598024042837949	0.7041786981834524	5,40,88,149,174,22,144,243	7	1
