corpus	mapping	metric	observed	null_mean	null_median	null_ci_2_5	null_ci_97_5	standardized_effect	empirical_p	bh_fdr_q	status
IT2a	OPTIMIZED	NUMERIC_REGULARITY_SCORE	0.322395868	NA	NA	NA	NA	NA	NA	NA	DESCRIPTIVE
ZL3b	OPTIMIZED_VS_C1_WITHIN_TOKEN_GLYPH_SHUFFLE	SEQUENTIAL	0.202162242	0.184281408	0.184047366	0.180060692	0.189756865	7.60140032	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C1_WITHIN_TOKEN_GLYPH_SHUFFLE	DIFFERENCE	0.679961542	0.687230235	0.687361014	0.685392399	0.68871177	-7.56142417	1	1	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C1_WITHIN_TOKEN_GLYPH_SHUFFLE	DOCUMENT	0.0891987895	0.0807110531	0.0806629112	0.0796352401	0.0821844896	11.2106748	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C1_WITHIN_TOKEN_GLYPH_SHUFFLE	EDIT	1	1	1	1	1	0	1	1	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C1_WITHIN_TOKEN_GLYPH_SHUFFLE	AGGREGATE	0.323774191	0.317407565	0.317425086	0.316149503	0.318822391	7.86833847	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C2_TOKEN_SHUFFLE_WITHIN_LINE	SEQUENTIAL	0.202162242	0.0870481439	0.0870926399	0.0755876871	0.098866461	19.5112293	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C2_TOKEN_SHUFFLE_WITHIN_LINE	DIFFERENCE	0.679961542	0.680759661	0.680937088	0.678595475	0.683357056	-0.488108836	0.634146341	0.951219512	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C2_TOKEN_SHUFFLE_WITHIN_LINE	DOCUMENT	0.0891987895	0.0467585861	0.0470809966	0.0422020439	0.0502768015	17.7714743	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C2_TOKEN_SHUFFLE_WITHIN_LINE	EDIT	1	1	1	1	1	0	1	1	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C2_TOKEN_SHUFFLE_WITHIN_LINE	AGGREGATE	0.323774191	0.271522131	0.271702553	0.267516108	0.276242207	24.0877644	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C3_GLYPH_BIGRAM_MARKOV	SEQUENTIAL	0.202162242	0.174543783	0.174690239	0.171895431	0.177832307	17.6993377	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C3_GLYPH_BIGRAM_MARKOV	DIFFERENCE	0.679961542	0.682165225	0.68239304	0.67805014	0.684650217	-1.27228357	0.87804878	1	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C3_GLYPH_BIGRAM_MARKOV	DOCUMENT	0.0891987895	0.0789533534	0.0788795849	0.0778384973	0.0801187213	17.3554459	0.0243902439	0.0406504065	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C3_GLYPH_BIGRAM_MARKOV	EDIT	1	1	1	1	1	0	1	1	PRIMARY_BH_FDR
ZL3b	OPTIMIZED_VS_C3_GLYPH_BIGRAM_MARKOV	AGGREGATE	0.323774191	0.311887454	0.311863937	0.310552272	0.313402037	13.4893302	0.0243902439	0.0406504065	PRIMARY_BH_FDR
