corpus	control	replicate	seed	baseline_score	optimized_score	sequential	difference	document	edit_consistency
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	19	20360847	0.317739286	0.318207957	0.187260364	0.687728266	0.0796352401	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	20	20360848	0.317274349	0.317274349	0.183852519	0.687555652	0.0804148772	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	21	20360849	0.317485022	0.318326046	0.187465236	0.687361014	0.080151887	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	22	20360850	0.317408021	0.317408021	0.183085909	0.686953663	0.0821844896	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	23	20360851	0.318822391	0.318822391	0.186536677	0.68808124	0.0818492557	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	24	20360852	0.316786172	0.317019598	0.18446414	0.685450855	0.0811438002	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	25	20360853	0.318348703	0.318348703	0.186551708	0.687931185	0.0805632156	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	26	20360854	0.316993981	0.316993981	0.183078409	0.687147376	0.0807561581	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	27	20360855	0.318694169	0.318694169	0.186929184	0.688156926	0.0809963959	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	28	20360856	0.317113485	0.317633834	0.186146591	0.684517588	0.0822373238	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	29	20360857	0.316273979	0.316273979	0.181828087	0.686558704	0.0804351453	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	30	20360858	0.316451927	0.317463924	0.186299362	0.687327573	0.0787648356	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	31	20360859	0.316860601	0.317428558	0.184956564	0.685392399	0.0819367114	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	32	20360860	0.317425086	0.317425086	0.184285714	0.687259127	0.0807304179	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	33	20360861	0.317475094	0.317475094	0.183512265	0.687064878	0.0818481392	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	34	20360862	0.317253547	0.317253547	0.182974687	0.687498453	0.0812874998	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	35	20360863	0.316901109	0.31849276	0.189846251	0.685583769	0.0800482599	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	36	20360864	0.316305315	0.316823026	0.184047366	0.685482278	0.080939435	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	37	20360865	0.317951935	0.317951935	0.184664066	0.688133734	0.0810580065	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	38	20360866	0.317508928	0.318093508	0.1874508	0.686333025	0.0804966992	1
ZL3b	C1_WITHIN_TOKEN_GLYPH_SHUFFLE	39	20360867	0.316223604	0.316223604	0.180693262	0.687407693	0.0805698585	1
