page_id	physical_leaf	page_order	visual_code	visual_class	currier	scribe	quire	token_count	line_count	unique_tokens	mean_token_length	type_token_ratio	token_entropy	exact_adjacent_repetition	near_edit_adjacent_repetition	mean_line_transition_entropy	mean_line_tokens	line_length_cv	boundary_length_asymmetry	mean_line_token_entropy
f90v2	f90v	181	H	Herbal	A	1	O	72	8	63	3.84722222	0.875	5.85930656	0	0.015625	3.09852886	9	0.325300024	0.125	3.21811907
f90v1	f90v	182	H	Herbal	A	1	O	99	11	87	4.05050505	0.878787879	6.364057	0	0.0454545455	3.04478772	9	0.222222222	0.545454545	3.18462526
f93r	f93r	183	H	Herbal	A	1	Q	153	32	117	3.90196078	0.764705882	6.59366971	0	0.0661157025	2.10040764	4.78125	0.437217224	0.1875	2.31595174
f93v	f93v	184	H	Herbal	A	1	Q	90	10	76	4.15555556	0.844444444	6.14174449	0.0125	0.05	3.02872637	9	0.173719102	0	3.16993356
f94r	f94r	185	H	Herbal	B	3	Q	79	9	74	4.18987342	0.936708861	6.17719847	0	0	3.04000258	8.77777778	0.277760864	0.222222222	3.19442525
f94v	f94v	186	H	Herbal	B	3	Q	97	12	85	4.05154639	0.87628866	6.30852457	0	0.0588235294	2.9049761	8.08333333	0.281405705	0.333333333	3.03357658
f95r1	f95r	187	H	Herbal	B	3	Q	103	11	81	3.89320388	0.786407767	6.13629631	0.0217391304	0.0108695652	3.09828058	9.36363636	0.192664026	1.18181818	3.09852463
f95r2	f95r	188	H	Herbal	B	3	Q	79	9	62	3.96202532	0.784810127	5.84473439	0.0142857143	0.0714285714	2.98641187	8.77777778	0.178117054	0.222222222	3.07900689
f95v2	f95v	189	H	Herbal	B	3	Q	60	7	55	4	0.916666667	5.74022393	0	0	2.95982576	8.57142857	0.211476292	0.428571429	3.12967814
f95v1	f95v	190	H	Herbal	B	3	Q	122	13	107	4.04098361	0.87704918	6.6786481	0	0.0458715596	3.13827367	9.38461538	0.270056779	0.307692308	3.2689137
f96r	f96r	191	H	Herbal	A	1	Q	84	13	75	4.22619048	0.892857143	6.15422218	0	0.0845070423	2.52240387	6.46153846	0.241542505	0	2.69273312
f96v	f96v	192	H	Herbal	A	1	Q	56	13	56	4.55357143	1	5.80735492	0	0.023255814	1.94629266	4.30769231	0.448388555	0.615384615	2.23530843
f99r	f99r	193	P	Pharmaceutical	A	1	S	194	52	145	4.13917526	0.74742268	6.95676387	0.00704225352	0.0352112676	2.98147907	3.73076923	1.04840253	0	2.55082986
f99v	f99v	194	P	Pharmaceutical	A	1	S	180	44	145	4.52777778	0.805555556	7.00108256	0.0220588235	0.0367647059	2.84191121	4.09090909	0.92942457	0.75	2.58344128
f100r	f100r	195	P	Pharmaceutical	A	1	S	115	27	98	4.34782609	0.852173913	6.48879831	0.0113636364	0.0795454545	3.12085541	4.25925926	1.05319059	0.037037037	2.77430757
f100v	f100v	196	P	Pharmaceutical	A	1	S	97	22	85	4.19587629	0.87628866	6.30852457	0	0.0133333333	3.09548228	4.40909091	1.01588933	0.0454545455	2.78599101
f101r	f101r	197	P	Pharmaceutical	A	1	S	232	10	150	3.68534483	0.646551724	6.8033496	0.0135135135	0.045045045	4.4794872	23.2	0.14903796	0.1	4.29586969
