window_size	method	k	silhouette	within_cluster_dispersion	between_cluster_distance	cluster_sizes	transition_count	segment_fragmentation
1000	hierarchical	8	0.1303558507731707	0.47499290476011496	0.5639136750197488	29,30,31,55,18,29,45,191	7	1
1000	hierarchical	9	0.14344795119435372	0.465233633220709	0.5638925421773184	29,30,31,55,18,28,17,30,190	8	1
1000	hierarchical	10	0.12746295589610906	0.46484320040985966	0.5637034007524222	29,30,31,55,18,28,17,30,183,7	9	1
1000	hierarchical	11	0.14506487061701848	0.45453560249333125	0.5617132993840309	29,30,31,55,18,28,17,28,60,125,7	10	1
1000	hierarchical	12	0.1582286222793886	0.4456767713288061	0.561531748473744	29,30,29,18,40,17,28,17,28,60,125,7	11	1
1000	hierarchical	13	0.17140462383261043	0.4363748426374991	0.5613153723084994	29,30,29,18,40,17,28,17,26,18,44,125,7	12	1
1000	hierarchical	14	0.18217938764235458	0.42807070970566713	0.561225611045288	29,30,29,18,40,17,28,16,13,15,17,44,125,7	13	1
1000	hierarchical	15	0.1980128487834027	0.41753577090490746	0.561276754196277	29,30,29,18,40,17,28,16,13,15,17,41,19,109,7	14	1
50	k_medoids	2	0.0067222950696821295	0.9068664226860942	0.9130260054080813	4405,4328	825	413
50	contiguous_segmentation	2	-0.0026787336700217716	0.9098262931172826	0.9073678376174622	6171,2562	1	1
50	k_medoids	3	0.008786204780970865	0.9033809709470505	0.9160244041778063	4799,1845,2089	1136	379
50	contiguous_segmentation	3	-0.006000187896210702	0.9097207710722834	0.9076143237451708	5,6166,2562	2	1
50	k_medoids	4	0.0036869406380574538	0.9025216953644833	0.9132760927699677	1903,3032,2786,1012	1402	350.75
50	contiguous_segmentation	4	-0.005976111416882895	0.90894422765833	0.910190537428965	5,3417,2749,2562	3	1
50	k_medoids	5	0.004206570012397029	0.8992772203918423	0.9140729361359928	1964,554,2985,813,2417	1470	294.2
50	contiguous_segmentation	5	-0.015803048442817266	0.9090060146455761	0.910162890318345	5,3343,74,2749,2562	4	1
50	k_medoids	6	0.004166994688710735	0.8970058288191534	0.9128444801797282	2134,1095,1743,1678,1179,904	1691	282
50	contiguous_segmentation	6	-0.01776879743980589	0.9092637521803222	0.9102722065003741	5,3343,74,54,2695,2562	5	1
50	k_medoids	7	0.0027776045299352354	0.8964922032073835	0.9129247961337387	1371,1759,523,1272,1605,1794,409	1761	251.71428571428572
50	contiguous_segmentation	7	-0.01776879743980589	0.9092637521803222	0.9102722065003741	5,3343,74,54,2695,15,2547	6	1
50	k_medoids	8	0.0014244963129189552	0.8974065280890606	0.9151175261875695	3143,3185,376,364,411,110,943,201	1442	180.375
50	contiguous_segmentation	8	-0.019501625151562764	0.909523054866084	0.9104442458079215	5,2807,536,74,54,2695,15,2547	7	1
50	k_medoids	9	0.0021375404465075174	0.8947095806678905	0.9131918869394798	486,778,720,2435,382,768,2129,61,974	1763	196
50	contiguous_segmentation	9	-0.021062564382245547	0.9094394833619293	0.9103988098718733	5,2440,367,536,74,54,2695,15,2547	8	1
50	k_medoids	10	0.007469944490362654	0.8919997362737373	0.912556021817096	1342,1117,1081,672,18,370,1656,1060,704,713	1964	196.5
50	contiguous_segmentation	10	-0.021062564382245547	0.9094394833619293	0.9103988098718733	5,2440,7,360,536,74,54,2695,15,2547	9	1
50	k_medoids	11	0.001794703755958632	0.8916730938409673	0.9133392268533844	482,1975,404,38,467,561,1997,320,324,1823,342	1693	154
50	contiguous_segmentation	11	-0.02210299469630057	0.9090475174431082	0.9104474704565095	5,2249,191,7,360,536,74,54,2695,15,2547	10	1
50	k_medoids	12	0.0005372339472581317	0.8910177636933483	0.9127793052971257	2047,57,1613,558,1174,435,152,895,866,427,362,147	1838	153.25
50	contiguous_segmentation	12	-0.0236931958707453	0.9091135395593432	0.9104633564820073	5,2249,191,7,360,299,237,74,54,2695,15,2547	11	1
