left_glyph	right_glyph	observed_count	left_opportunities	p_right_given_left	expected_count	effect_size	p_raw	q_value	observed_status	corpus_rule	inferred_status
i	x	1	11933	8.38012235e-05	1.535729224	0.6511564569	0.5459390357	0.9548407425	OBSERVED	OBSERVED	EXPECTED
i	y	8	11933	0.000670409788	1220.75116	0.006553342125	0	0	OBSERVED	OBSERVED	DEPLETED
i	z	1	11933	8.38012235e-05	0.5375052283	1.86044702	0.4157961088	0.787791331	OBSERVED	OBSERVED	EXPECTED
j	0	0	10	0	0.001994787812	0	0.9980072005	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	1	0	10	0	0.001480003861	0	0.9985210908	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	2	0	10	0	0.001994787812	0	0.9980072005	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	3	0	10	0	0.003732183649	0	0.9962747723	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	4	0	10	0	0.00244522377	0	0.9975577634	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	5	0	10	0	0.001801743831	0	0.9981998783	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	6	0	10	0	0.002895659728	0	0.9971085287	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	7	0	10	0	0.002573919758	0	0.9974293899	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	8	0	10	0	0.001480003861	0	0.9985210908	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	9	0	10	0	0.001994787812	0	0.9980072005	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	I	0	10	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	a	4	10	0.4	0.8140021235	4.913992095	0.009627124117	0.03095968451	OBSERVED	OBSERVED	PREFERRED
j	b	0	10	0	0.0009652199093	0	0.9990352458	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	c	0	10	0	0.4064219298	0	0.6660290906	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	d	0	10	0	0.6136868183	0	0.5413513214	0.9493793133	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	e	1	10	0.1	1.303561661	0.7671290354	0.6255617782	1	OBSERVED	OBSERVED	EXPECTED
j	f	0	10	0	0.02458093369	0	0.9757187172	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	g	0	10	0	0.008815675171	0	0.991223069	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	h	0	10	0	1.155046491	0	0.3150428898	0.6349853579	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	i	0	10	0	0.7684437438	0	0.4637341963	0.8476720992	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	j	0	10	0	0.0007721759274	0	0.9992281221	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	k	0	10	0	0.6312538207	0	0.5319244449	0.9379239191	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	l	0	10	0	0.5917441524	0	0.5533612961	0.9633384338	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	m	0	10	0	0.06801582961	0	0.9342456847	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	n	0	10	0	0.3977349506	0	0.6718400749	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	o	0	10	0	1.076027155	0	0.3409473696	0.677711336	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	p	0	10	0	0.07264888517	0	0.929927284	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	q	0	10	0	0.002252179788	0	0.9977503545	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	r	0	10	0	0.4546185773	0	0.634690007	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	s	0	10	0	0.1773430713	0	0.8374924156	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	t	0	10	0	0.3844149159	0	0.6808488736	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	u	0	10	0	0.0005147839516	0	0.9994853485	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	v	0	10	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	x	0	10	0	0.001286959879	0	0.9987138679	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
j	y	5	10	0.5	1.023004408	4.887564474	0.004024788514	0.01440918761	OBSERVED	OBSERVED	PREFERRED
j	z	0	10	0	0.0004504359577	0	0.9995496655	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	0	0	10985	0	2.191274412	0	0.1117742114	0.2738177627	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	1	0	10985	0	1.625784241	0	0.1967573095	0.4450217681	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	2	0	10985	0	2.191274412	0	0.1117742114	0.2738177627	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	3	0	10985	0	4.099803739	0	0.0165759283	0.051640392	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	4	0	10985	0	2.686078312	0	0.06814766995	0.1817271199	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	5	0	10985	0	1.979215598	0	0.1381775816	0.3279819519	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	6	0	10985	0	3.180882211	0	0.04154898398	0.1178281909	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	7	0	10985	0	2.827450854	0	0.05916347794	0.1600748798	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	8	0	10985	0	1.625784241	0	0.1967573095	0.4450217681	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	9	0	10985	0	2.191274412	0	0.1117742114	0.2738177627	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	I	0	10985	0	0	0	1	1	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	a	3105	10985	0.2826581702	894.1813326	3.472450035	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
k	b	0	10985	0	1.06029407	0	0.3463539429	0.6863527676	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	c	1063	10985	0.09676832044	446.4544899	2.380981767	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
k	d	9	10985	0.0008192990442	674.1349699	0.01335044227	0	0	OBSERVED	OBSERVED	DEPLETED
k	e	4024	10985	0.366317706	1431.962485	2.810129484	0	0	OBSERVED	OBSERVED	STRONGLY_PREFERRED
k	f	0	10985	0	27.00215566	0	1.875481559e-12	1.004390124e-11	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	g	1	10985	9.103322713e-05	9.684019176	0.1032629099	0.0006653016004	0.002677735634	OBSERVED	OBSERVED	DEPLETED
k	h	953	10985	0.08675466545	1268.818571	0.7510924114	0	0	OBSERVED	OBSERVED	DEPLETED
k	i	11	10985	0.001001365498	844.1354525	0.01303108401	0	0	OBSERVED	OBSERVED	DEPLETED
k	j	0	10985	0	0.8482352563	0	0.4281698757	0.8036986429	UNOBSERVED	NEVER_OBSERVED	EXPECTED
k	k	0	10985	0	693.432322	0	0	0	UNOBSERVED	NEVER_OBSERVED	STRONGLY_AVOIDED
k	l	34	10985	0.003095129722	650.0309514	0.05230520166	0	0	OBSERVED	OBSERVED	DEPLETED
