target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
aiin	ar	2	shedy	sor	13	0.27752040434521263	0.18933115971561837	0.08480565371024736	433	51	1
aiin	ar	2	shedy	sor	14	0.11655983715296536	0.06928406466512702	0.04081632653061224	433	51	1
aiin	ar	2	shedy	sor	15	0.19070647539171648	0.11660553366843272	0.06802721088435375	433	51	1
aiin	ar	2	shedy	sor	16	0.31164062204655274	0.2204863469637277	0.09558823529411764	433	51	1
aiin	ar	2	shedy	sor	17	0.21279187055525162	0.1465833446542589	0.061855670103092786	433	51	1
aiin	ar	2	shedy	sor	18	0.20318233135871167	0.1339491916859122	0.058823529411764705	433	51	1
aiin	ar	2	shedy	sor	19	0.16694871854606663	0.1108092197618077	0.055944055944055944	433	51	1
aiin	ar	2	shedy	sor	20	0.24057981708571285	0.16967803287596794	0.07829181494661921	433	51	1
aiin	ar	3	sar	shey	1	0.12720354870726525	0.08550185873605946	0.05063291139240506	81	269	1
aiin	ar	3	sar	shey	2	0.3157226625561508	0.24507779154619308	0.11504424778761062	81	269	1
aiin	ar	3	sar	shey	3	0.2703384568398771	0.2067098077011336	0.10638297872340426	81	269	1
aiin	ar	3	sar	shey	4	0.29130533009593884	0.2104272798200927	0.10775862068965517	81	269	1
aiin	ar	3	sar	shey	5	0.2741550668391505	0.21042727982009268	0.10300429184549356	81	269	1
aiin	ar	3	sar	shey	6	0.2557078443750568	0.1967506539997247	0.11009174311926606	81	269	1
aiin	ar	3	sar	shey	7	0.2433270563288059	0.19569507549681034	0.07964601769911504	81	269	1
aiin	ar	3	sar	shey	8	0.26408616002580976	0.20313001973472852	0.09016393442622951	81	269	1
aiin	ar	3	sar	shey	9	0.2354273143989627	0.16343108908164675	0.10121457489878542	81	269	1
aiin	ar	3	sar	shey	10	0.18711803526013726	0.14231951902336037	0.07509881422924901	81	269	1
aiin	ar	3	sar	shey	11	0.26410632182492666	0.19436412868878794	0.0954356846473029	81	269	1
aiin	ar	3	sar	shey	12	0.24789486889377021	0.17830097755748314	0.09795918367346938	81	269	1
aiin	ar	3	sar	shey	13	0.20050698461203265	0.14484372848685115	0.07024793388429752	81	269	1
aiin	ar	3	sar	shey	14	0.2809064687477417	0.21919317086603332	0.10084033613445378	81	269	1
aiin	ar	3	sar	shey	15	0.1814115028515073	0.11629721419064662	0.06967213114754098	81	269	1
aiin	ar	3	sar	shey	16	0.23520740816422592	0.1708660333195649	0.09090909090909091	81	269	1
aiin	ar	3	sar	shey	17	0.20451920824671677	0.14245720317591445	0.07782101167315175	81	269	1
aiin	ar	3	sar	shey	18	0.2765584848195243	0.20670980770113356	0.10416666666666667	81	269	1
aiin	ar	3	sar	shey	19	0.2229578115405476	0.15971361696268757	0.09274193548387097	81	269	1
aiin	ar	3	sar	shey	20	0.20493130167216111	0.151085410069301	0.088	81	269	1
chol	cthy	1	sar	shedy	1	0.12079346416849057	0.07621247113163972	0.04710144927536232	81	433	1
chol	cthy	1	sar	shedy	2	0.2750275749702109	0.19647592164913177	0.0932475884244373	81	433	1
chol	cthy	1	sar	shedy	3	0.2607759656740287	0.18102243891312403	0.08359133126934984	81	433	1
chol	cthy	1	sar	shedy	4	0.31194059292093657	0.2257006814358624	0.09294871794871795	81	433	1
chol	cthy	1	sar	shedy	5	0.31694360614173633	0.2348530208422433	0.1	81	433	1
chol	cthy	1	sar	shedy	6	0.25806265744472967	0.19256978302397854	0.10101010101010101	81	433	1
chol	cthy	1	sar	shedy	7	0.22617906130429366	0.15864054971060362	0.0749185667752443	81	433	1
chol	cthy	1	sar	shedy	8	0.29912653399908884	0.20802326575998634	0.10437710437710437	81	433	1
chol	cthy	1	sar	shedy	9	0.2918815610362163	0.20944886379836344	0.10139860139860139	81	433	1
chol	cthy	1	sar	shedy	10	0.23804668388604078	0.17409403244661129	0.08737864077669903	81	433	1
chol	cthy	1	sar	shedy	11	0.26042112816688423	0.18564137655746588	0.08090614886731391	81	433	1
chol	cthy	1	sar	shedy	12	0.22706591258111952	0.15490548285005554	0.07516339869281045	81	433	1
chol	cthy	1	sar	shedy	13	0.25398256899388894	0.18715251047814557	0.0744336569579288	81	433	1
chol	cthy	1	sar	shedy	14	0.28843652706370804	0.2164628061471787	0.08524590163934426	81	433	1
chol	cthy	1	sar	shedy	15	0.22811763699555543	0.15402161206626175	0.09003215434083602	81	433	1
chol	cthy	1	sar	shedy	16	0.26569164491840314	0.19177144812248736	0.09090909090909091	81	433	1
chol	cthy	1	sar	shedy	17	0.27601852286972184	0.20331879223334187	0.09446254071661238	81	433	1
chol	cthy	1	sar	shedy	18	0.3343027931196574	0.24506030279702332	0.10631229235880399	81	433	1
chol	cthy	1	sar	shedy	19	0.22569906946445928	0.15410714794856442	0.07894736842105263	81	433	1
chol	cthy	1	sar	shedy	20	0.2430881068880404	0.17569070224959368	0.08940397350993377	81	433	1
chol	cthy	2	shedy	sor	1	0.1551591226347646	0.10967712720192	0.05363984674329502	433	51	1
chol	cthy	2	shedy	sor	2	0.2521521597011981	0.16510437893402163	0.07612456747404844	433	51	1
chol	cthy	2	shedy	sor	3	0.17863239049657287	0.12235656387266221	0.057692307692307696	433	51	1
chol	cthy	2	shedy	sor	4	0.2553938289159241	0.19046325227550606	0.06	433	51	1
