candidate	corpus	error_channel	error_rate	replicate	seed	injected_errors	glyph_recovery	token_recovery	word_error_rate	exact_message_recovery	output_tokens
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	55	67058407	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	56	67059416	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	57	67060425	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	58	67061434	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	59	67062443	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	60	67063452	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	61	67064461	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	62	67065470	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	63	67066479	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	64	67067488	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	65	67068497	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	66	67069506	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	67	67070515	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	68	67071524	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	69	67072533	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	70	67073542	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	71	67074551	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	72	67075560	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	73	67076569	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	74	67077578	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	75	67078587	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	76	67079596	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	77	67080605	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	78	67081614	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	79	67082623	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	80	67083632	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	81	67084641	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	82	67085650	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	83	67086659	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	84	67087668	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	85	67088677	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	86	67089686	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	87	67090695	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	88	67091704	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	89	67092713	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	90	67093722	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	91	67094731	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	92	67095740	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	93	67096749	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	94	67097758	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	95	67098767	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	96	67099776	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	97	67100785	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	98	67101794	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00100	99	67102803	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	0	67004412	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	1	67005421	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	2	67006430	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	3	67007439	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	4	67008448	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	5	67009457	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	6	67010466	1	0.99808795	0.99218750	0.00781250	0	128
M0_IDENTITY	Doyle	GLYPH_SUBSTITUTION	0.00250	7	67011475	1	0.99808795	0.99218750	0.00781250	0	128
