candidate	corpus	partition	input_units	output_tokens	clean_glyph_recovery	clean_token_recovery	sequence_edit_distance	normalized_char_edit_distance	word_error_rate	exact_message_recovery	recovered_plaintext_entropy	decoder_level	measurement
M10_STATEFUL_FORM_K2	Longfellow	TEST_BLOCK_16	16	16	0.38461538	0.12500000	14	0.61538462	0.87500000	0	3.76358913	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TEST_BLOCK_32	32	32	0.34259259	0.12500000	28	0.65740741	0.87500000	0	3.73772033	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TEST_BLOCK_64	64	64	0.30454545	0.12500000	56	0.69545455	0.87500000	0	3.86294355	LEVEL_3	actual short-block encode->decode
M10_STATEFUL_FORM_K2	Longfellow	TEST_BLOCK_128	128	128	0.30855856	0.11718750	113	0.69144144	0.88281250	0	3.91945019	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Longfellow	TRAIN	168	168	0.40582192	0.22619048	130	0.59417808	0.77380952	0	3.94938022	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Longfellow	VALIDATION	157	157	0.37477148	0.17834395	129	0.62522852	0.82165605	0	4.01556303	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST	173	173	0.28833333	0.13872832	149	0.71166667	0.86127168	0	4.01886686	LEVEL_3	actual encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST_BLOCK_8	8	8	0.41666667	0.12500000	7	0.58333333	0.87500000	0	3.49922754	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST_BLOCK_16	16	16	0.38461538	0.18750000	13	0.61538462	0.81250000	0	3.85297442	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST_BLOCK_32	32	32	0.33333333	0.18750000	26	0.66666667	0.81250000	0	3.87791384	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST_BLOCK_64	64	64	0.32272727	0.17187500	53	0.67727273	0.82812500	0	3.89930142	LEVEL_3	actual short-block encode->decode
M11_MIXED_FORM_K2	Longfellow	TEST_BLOCK_128	128	128	0.28603604	0.14843750	109	0.71396396	0.85156250	0	4.03111319	LEVEL_3	actual short-block encode->decode
M0_IDENTITY	Astafiev	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.86913605	LEVEL_1	actual encode->decode
M0_IDENTITY	Astafiev	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.54340413	LEVEL_1	actual encode->decode
M0_IDENTITY	Astafiev	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_1	actual encode->decode
M0_IDENTITY	Astafiev	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.22683267	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Astafiev	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.27043137	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Astafiev	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.48764570	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Astafiev	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.40761887	LEVEL_1	actual short-block encode->decode
M0_IDENTITY	Astafiev	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_1	actual short-block encode->decode
M1_MONOALPHABETIC	Astafiev	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.86913605	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Astafiev	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.54340413	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Astafiev	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_3	actual encode->decode
M1_MONOALPHABETIC	Astafiev	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.22683267	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Astafiev	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.27043137	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Astafiev	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.48764570	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Astafiev	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.40761887	LEVEL_3	actual short-block encode->decode
M1_MONOALPHABETIC	Astafiev	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_3	actual short-block encode->decode
M2_HOMOPHONY_H2	Astafiev	TRAIN	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.86913605	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Astafiev	VALIDATION	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.54340413	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_1	actual encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST_BLOCK_8	8	8	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.22683267	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST_BLOCK_16	16	16	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.27043137	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST_BLOCK_32	32	32	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.48764570	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST_BLOCK_64	64	64	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.40761887	LEVEL_1	actual short-block encode->decode
M2_HOMOPHONY_H2	Astafiev	TEST_BLOCK_128	128	128	1.00000000	1.00000000	0	0.00000000	0.00000000	1	4.49505151	LEVEL_1	actual short-block encode->decode
G_FORM_MEDIUM	Astafiev	TRAIN	128	128	0.39914621	0.31250000	88	0.60085379	0.68750000	0	4.75581251	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Astafiev	VALIDATION	128	128	0.55983494	0.47656250	67	0.44016506	0.52343750	0	4.53067412	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Astafiev	TEST	128	128	0.55970149	0.55468750	57	0.44029851	0.44531250	0	4.34456355	LEVEL_3	actual encode->decode
G_FORM_MEDIUM	Astafiev	TEST_BLOCK_8	8	8	0.59523810	0.50000000	4	0.40476190	0.50000000	0	4.27280433	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Astafiev	TEST_BLOCK_16	16	16	0.70370370	0.68750000	5	0.29629630	0.31250000	0	4.20370376	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Astafiev	TEST_BLOCK_32	32	32	0.69411765	0.65625000	11	0.30588235	0.34375000	0	4.30916856	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Astafiev	TEST_BLOCK_64	64	64	0.64984227	0.62500000	24	0.35015773	0.37500000	0	4.29187176	LEVEL_3	actual short-block encode->decode
G_FORM_MEDIUM	Astafiev	TEST_BLOCK_128	128	128	0.55970149	0.55468750	57	0.44029851	0.44531250	0	4.34456355	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TRAIN	235	235	0.26276596	0.05957447	221	0.73723404	0.94042553	0	4.53115451	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Astafiev	VALIDATION	182	182	0.39697802	0.18131868	149	0.60302198	0.81868132	0	4.36692584	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST	168	168	0.34821429	0.16666667	140	0.65178571	0.83333333	0	4.36735620	LEVEL_3	actual encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST_BLOCK_8	8	8	0.28125000	0.12500000	7	0.71875000	0.87500000	0	3.65251827	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST_BLOCK_16	16	16	0.45312500	0.25000000	12	0.54687500	0.75000000	0	3.77055777	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST_BLOCK_32	32	32	0.41406250	0.25000000	24	0.58593750	0.75000000	0	4.00657815	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST_BLOCK_64	64	64	0.34765625	0.15625000	54	0.65234375	0.84375000	0	4.25987494	LEVEL_3	actual short-block encode->decode
M9_GROUP_FORM_FIXED	Astafiev	TEST_BLOCK_128	128	128	0.35351562	0.17187500	106	0.64648438	0.82812500	0	4.31533648	LEVEL_3	actual short-block encode->decode
