block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G3/generic#0	G0/generic#2	111	105	88	0.6875	0.7953019337	0
G3/generic#0	G1/generic#2	111	82	68	0.544	0.7162038188	0
G3/generic#0	G2/generic#2	111	104	90	0.72	0.8324444414	0
G3/generic#0	G3/generic#2	111	99	84	0.6666666667	0.8109687824	0
G3/generic#0	G0/generic#3	111	110	87	0.6492537313	0.7719869264	0
G3/generic#0	G1/generic#3	111	108	85	0.6343283582	0.7641558814	0
G3/generic#0	G2/generic#3	111	93	78	0.619047619	0.7854162577	0
G3/generic#0	G3/generic#3	111	89	84	0.724137931	0.8153597668	0
G3/generic#0	G0/generic#4	111	88	73	0.5793650794	0.7174865093	0
G3/generic#0	G1/generic#4	111	99	80	0.6153846154	0.7250777592	0
G3/generic#0	G2/generic#4	111	111	93	0.7209302326	0.7985879491	0
G3/generic#0	G3/generic#4	111	93	80	0.6451612903	0.783531624	0
G3/generic#0	G0/generic#5	111	101	84	0.65625	0.7702379219	0
G3/generic#0	G1/generic#5	111	94	81	0.6532258065	0.7572314621	0
G3/generic#0	G2/generic#5	111	71	63	0.5294117647	0.7113312323	0
G3/generic#0	G3/generic#5	111	98	85	0.685483871	0.7994178832	0
G3/generic#0	G0/generic#6	111	89	78	0.6393442623	0.744101999	0
G3/generic#0	G1/generic#6	111	84	76	0.6386554622	0.7675557215	0
G3/generic#0	G2/generic#6	111	62	56	0.4786324786	0.7154438787	0
G3/generic#0	G3/generic#6	111	67	61	0.5213675214	0.673892026	0
G3/generic#0	G0/generic#7	111	99	78	0.5909090909	0.7293967309	0
G3/generic#0	G1/generic#7	111	100	79	0.5984848485	0.7509029983	0
G3/generic#0	G2/generic#7	111	66	53	0.4274193548	0.5788300076	0
G3/generic#0	G3/generic#7	111	70	63	0.5338983051	0.7131283422	0
G3/generic#0	G0/generic#8	111	81	76	0.6551724138	0.8089665588	0
G3/generic#0	G1/generic#8	111	75	69	0.5897435897	0.7390151204	0
G3/generic#0	G2/generic#8	111	56	50	0.4273504274	0.6508972309	0
G3/generic#0	G3/generic#8	111	80	75	0.6465517241	0.7840582551	0
G3/generic#0	G0/generic#9	111	66	55	0.4508196721	0.6667939668	1
G3/generic#0	G1/generic#9	111	88	75	0.6048387097	0.7462318064	0
G3/generic#0	G2/generic#9	111	83	73	0.6033057851	0.7626053788	1
G3/generic#0	G3/generic#9	111	107	88	0.6769230769	0.7621204577	0
G3/generic#0	G0/generic#10	111	102	89	0.7177419355	0.8161596636	0
G3/generic#0	G1/generic#10	111	77	67	0.5537190083	0.7306491312	0
G3/generic#0	G2/generic#10	111	69	65	0.5652173913	0.7530120892	0
G3/generic#0	G3/generic#10	111	104	82	0.6165413534	0.7448884926	0
G3/generic#0	G0/generic#11	111	96	84	0.6829268293	0.7933066991	0
G3/generic#0	G1/generic#11	111	61	47	0.376	0.5869782953	0
G3/generic#0	G2/generic#11	111	98	69	0.4928571429	0.6659489659	0
G3/generic#0	G3/generic#11	111	121	96	0.7058823529	0.8137330624	0
G3/generic#0	G0/generic#12	111	97	85	0.6910569106	0.8272684617	0
G3/generic#0	G1/generic#12	111	91	82	0.6833333333	0.8236254532	0
G3/generic#0	G2/generic#12	111	94	80	0.64	0.7570735941	0
G3/generic#0	G3/generic#12	111	102	90	0.7317073171	0.8283747204	0
G3/generic#0	G0/generic#13	111	90	76	0.608	0.7332441593	0
G3/generic#0	G1/generic#13	111	95	85	0.7024793388	0.8145662145	0
G3/generic#0	G2/generic#13	111	89	70	0.5384615385	0.7481694814	0
G3/generic#0	G3/generic#13	111	99	81	0.6279069767	0.7557639686	0
