source	target	sign	permutations	empirical_p	fdr_q	max_block_observation_fraction	max_block_effect_weight_fraction	status
x004718	x006061	depleted	1000	1	1	0.2857142857	0.06453227826	EXPECTED_FROM_NULL
x004718	x006387	preferred	1000	1	1	0	0.05544646863	EXPECTED_FROM_NULL
x004718	x006434	preferred	1000	0.1478521479	0.4181139317	1	0.04224239042	EXPECTED_FROM_NULL
x004718	x006440	preferred	1000	0.02397602398	0.1605546221	0.5	0.04583547202	EXPECTED_FROM_NULL
x004718	x006441	preferred	1000	1	1	0	0.04594260117	EXPECTED_FROM_NULL
x004718	x006867	preferred	1000	1	1	1	0.03342115606	EXPECTED_FROM_NULL
x004718	x008470	preferred	1000	1	1	0	0.03165856397	EXPECTED_FROM_NULL
x004718	x008624	preferred	1000	1	1	0	0.07097561511	EXPECTED_FROM_NULL
x004718	x008668	preferred	1000	0.2447552448	0.5909719965	1	0.04755378808	EXPECTED_FROM_NULL
x004718	x008669	preferred	1000	1	1	0.5	0.0530052891	EXPECTED_FROM_NULL
x004718	x009164	preferred	10000	9.9990001e-05	0.006076750815	0.2	0.03847904447	BACKBONE_PREFERRED
x004718	x009165	preferred	1000	1	1	0	0.03383178036	EXPECTED_FROM_NULL
x004718	x009462	depleted	1000	0.8971028971	1	0.5	0.04736999343	EXPECTED_FROM_NULL
x004718	x009463	depleted	1000	0.7212787213	1	1	0.04616418109	EXPECTED_FROM_NULL
x004718	x009464	depleted	1000	1	1	0.07894736842	0.04786344509	EXPECTED_FROM_NULL
x004718	x009465	depleted	1000	1	1	0.06666666667	0.04974728252	EXPECTED_FROM_NULL
x004718	x009471	preferred	1000	0.06093906094	0.2599797553	0.5	0.03811253921	EXPECTED_FROM_NULL
x004718	x009526	preferred	1000	0.08991008991	0.3113982791	0.5	0.05620705914	EXPECTED_FROM_NULL
x004718	x009527	preferred	10000	0.000199980002	0.008946327589	0.1666666667	0.07144784886	SIGNIFICANT_UNSTABLE
x004718	x009610	preferred	1000	1	1	1	0.05538665283	EXPECTED_FROM_NULL
x004718	x009611	preferred	1000	1	1	1	0.03928783814	EXPECTED_FROM_NULL
x004718	x009634	depleted	1000	0.2197802198	1	1	0.03764149188	EXPECTED_FROM_NULL
x004718	x009635	depleted	1000	0.5564435564	1	0.5	0.03601184211	EXPECTED_FROM_NULL
x004718	x009648	preferred	1000	1	1	1	0.03297350001	EXPECTED_FROM_NULL
x004718	x009770	preferred	1000	1	1	0	0.03892391303	EXPECTED_FROM_NULL
x004718	x010054	depleted	1000	0.7602397602	1	1	0.06575242375	EXPECTED_FROM_NULL
x004718	x010158	preferred	1000	0.3416583417	0.7832608672	1	0.05605193527	EXPECTED_FROM_NULL
x004718	x010382	preferred	1000	0.1898101898	0.4942430246	1	0.06106107768	EXPECTED_FROM_NULL
x004718	x010414	depleted	1000	0.996003996	1	0.3333333333	0.0591094234	EXPECTED_FROM_NULL
x004718	x010415	preferred	1000	0.2297702298	0.565385722	1	0.06068071946	EXPECTED_FROM_NULL
x004718	x010526	depleted	1000	0.9030969031	1	1	0.05954515984	EXPECTED_FROM_NULL
x004718	x010527	depleted	1000	0.8961038961	1	1	0.05759142128	EXPECTED_FROM_NULL
x004718	x010700	depleted	1000	0.7802197802	1	1	0.06441527668	EXPECTED_FROM_NULL
x004718	x010701	depleted	1000	0.3386613387	1	0	0.0520868369	EXPECTED_FROM_NULL
x004718	x010705	preferred	1000	0.2817182817	0.6633147554	1	0.04773686902	EXPECTED_FROM_NULL
x004719	x000026	depleted	1000	1	1	0.1428571429	0.04219731439	EXPECTED_FROM_NULL
x004719	x000027	depleted	1000	1	1	0.08333333333	0.04683154537	EXPECTED_FROM_NULL
x004719	x000204	preferred	1000	0.03596403596	0.1966725974	1	0.03399695055	EXPECTED_FROM_NULL
x004719	x000272	preferred	1000	1	1	0	0.05471583935	EXPECTED_FROM_NULL
x004719	x000348	preferred	1000	1	1	1	0.05910955004	EXPECTED_FROM_NULL
x004719	x000349	preferred	10000	0.000799920008	0.02385687357	0.25	0.05055387234	SIGNIFICANT_UNSTABLE
x004719	x000356	depleted	1000	0.5934065934	1	0.3333333333	0.03748195587	EXPECTED_FROM_NULL
x004719	x000357	depleted	1000	0.8511488511	1	0.5	0.03596536745	EXPECTED_FROM_NULL
x004719	x000409	preferred	1000	1	1	1	0.04410281273	EXPECTED_FROM_NULL
x004719	x000585	depleted	1000	0.9210789211	1	0.5	0.06488771173	EXPECTED_FROM_NULL
x004719	x001389	preferred	1000	1	1	1	0.0367509163	EXPECTED_FROM_NULL
x004719	x003215	preferred	1000	1	1	1	0.03800965042	EXPECTED_FROM_NULL
x004719	x003706	depleted	1000	0.6713286713	1	1	0.06449568951	EXPECTED_FROM_NULL
x004719	x004112	preferred	1000	0.1178821179	0.3647438057	1	0.04183674111	EXPECTED_FROM_NULL
x004719	x004243	preferred	1000	1	1	1	0.03439902747	EXPECTED_FROM_NULL
x004719	x004418	preferred	1000	1	1	0.5	0.0421915558	EXPECTED_FROM_NULL
x004719	x004419	preferred	1000	1	1	1	0.03650711793	EXPECTED_FROM_NULL
x004719	x004472	depleted	1000	1	1	0.09090909091	0.06723384751	EXPECTED_FROM_NULL
x004719	x004473	depleted	1000	1	1	0.2222222222	0.05426409146	EXPECTED_FROM_NULL
x004719	x004499	preferred	1000	1	1	0	0.04933504914	EXPECTED_FROM_NULL
x004719	x005004	depleted	1000	0.5804195804	1	0.5	0.04773968956	EXPECTED_FROM_NULL
x004719	x005005	depleted	1000	0.7952047952	1	0.5	0.04463455297	EXPECTED_FROM_NULL
x004719	x005007	preferred	1000	1	1	0	0.03358163989	EXPECTED_FROM_NULL
x004719	x005447	preferred	1000	0.1668331668	0.451571118	1	0.04811937956	EXPECTED_FROM_NULL
x004719	x005654	preferred	1000	1	1	1	0.03330632204	EXPECTED_FROM_NULL
x004719	x005739	depleted	1000	0.5994005994	1	1	0.05965258748	EXPECTED_FROM_NULL
x004719	x005859	preferred	1000	0.01198801199	0.1237608545	1	0.03275862558	EXPECTED_FROM_NULL
x004719	x005988	preferred	1000	1	1	1	0.03185681433	EXPECTED_FROM_NULL
x004719	x006060	depleted	1000	1	1	0.3	0.06125188465	EXPECTED_FROM_NULL
x004719	x006061	depleted	1000	0.992007992	1	0.1666666667	0.08081098981	EXPECTED_FROM_NULL
x004719	x006200	preferred	1000	0.3636363636	0.8271700051	1	0.05814469704	EXPECTED_FROM_NULL
x004719	x006386	depleted	1000	0.6473526474	1	0	0.06001622561	EXPECTED_FROM_NULL
x004719	x006387	preferred	1000	1	1	0	0.0591486745	EXPECTED_FROM_NULL
x004719	x006440	preferred	1000	1	1	1	0.04110286289	EXPECTED_FROM_NULL
x004719	x006441	preferred	1000	1	1	1	0.04497075629	EXPECTED_FROM_NULL
x004719	x008669	preferred	1000	1	1	0	0.05677271079	EXPECTED_FROM_NULL
x004719	x009164	preferred	1000	1	1	1	0.03639473222	EXPECTED_FROM_NULL
x004719	x009165	preferred	1000	0.06693306693	0.2735114885	0.5	0.03308486325	EXPECTED_FROM_NULL
x004719	x009453	preferred	1000	1	1	1	0.03341020192	EXPECTED_FROM_NULL
x004719	x009462	depleted	1000	0.9120879121	1	0.25	0.04292585048	EXPECTED_FROM_NULL
x004719	x009463	depleted	1000	0.7362637363	1	0.5	0.05053989418	EXPECTED_FROM_NULL
x004719	x009464	depleted	1000	1	1	0.1142857143	0.04326517435	EXPECTED_FROM_NULL
x004719	x009465	depleted	1000	1	1	0.1	0.04570659988	EXPECTED_FROM_NULL
x004719	x009470	preferred	1000	0.1008991009	0.3326468823	1	0.03746026482	EXPECTED_FROM_NULL
x004719	x009475	preferred	1000	0.08791208791	0.3098083536	1	0.04419566406	EXPECTED_FROM_NULL
x004719	x009478	preferred	1000	0.2977022977	0.6933471445	1	0.04916458066	EXPECTED_FROM_NULL
x004719	x009526	preferred	10000	0.000399960004	0.0138523782	0.1666666667	0.05351998608	SIGNIFICANT_UNSTABLE
x004719	x009527	preferred	1000	0.3596403596	0.8186583734	0.3333333333	0.07157807411	EXPECTED_FROM_NULL
x004719	x009538	preferred	1000	0.03296703297	0.1886089044	1	0.03069837026	EXPECTED_FROM_NULL
x004719	x009567	preferred	1000	1	1	1	0.04079580169	EXPECTED_FROM_NULL
x004719	x009611	preferred	1000	0.1778221778	0.4718000286	1	0.04859197299	EXPECTED_FROM_NULL
x004719	x009915	preferred	1000	1	1	0	0.04420485897	EXPECTED_FROM_NULL
x004719	x010054	preferred	1000	0.2367632368	0.5773008218	1	0.06596379033	EXPECTED_FROM_NULL
x004719	x010055	depleted	1000	0.8031968032	1	0	0.05779570003	EXPECTED_FROM_NULL
x004719	x010383	preferred	1000	1	1	0	0.04902167347	EXPECTED_FROM_NULL
x004719	x010414	depleted	1000	0.9340659341	1	1	0.06745757321	EXPECTED_FROM_NULL
x004719	x010415	preferred	1000	0.01998001998	0.1514250455	0.6666666667	0.05871059924	EXPECTED_FROM_NULL
x004719	x010445	preferred	1000	1	1	1	0.03883293693	EXPECTED_FROM_NULL
x004719	x010526	depleted	1000	0.5334665335	1	0	0.05626876883	EXPECTED_FROM_NULL
x004719	x010700	depleted	1000	0.8001998002	1	0.5	0.06457617294	EXPECTED_FROM_NULL
x004719	x010704	preferred	1000	1	1	1	0.04637329638	EXPECTED_FROM_NULL
x004719	x010705	preferred	1000	0.1048951049	0.3419707823	1	0.04453231314	EXPECTED_FROM_NULL
x004755	x002794	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004755	x009770	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x000026	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x000027	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x004459	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x004473	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
x004928	x005004	preferred	1000	0.000999000999	1	0	0	INSUFFICIENT_SUPPORT
