Corpus	ChainLength	Chain
Voynich	17	cheeteey -> cheteey -> cheoteey -> choteey -> chokeey -> chokchy -> chokshchy -> chokshy -> choksy -> choeesy -> chosy -> chopy -> chop -> cheop -> cheot -> cheoet -> cheyet
Voynich	6	cheokeol -> cheokeor -> cheokeos -> chokeos -> chokeod -> chocpheod
Voynich	19	cheolain -> cheoldain -> cheolkain -> cheolk -> cheols -> chols -> chold -> cholo -> chllo -> llo -> lcho -> dcho -> dchg -> dchog -> chog -> chok -> choek -> choer -> choeeer
Voynich	7	cheolkaiin -> cholkaiin -> cholkal -> cholal -> cholaly -> chodaly -> chodalg
Voynich	41	cheolshy -> teolshy -> teoly -> ctheoly -> ctheody -> cpheody -> cpheocthy -> cphecthy -> cphey -> cphoy -> coy -> cky -> ckey -> ckeo -> ckcho -> ckchol -> kchol -> dchol -> dchal -> dchaiin -> dchar -> cphchar -> cphoar -> foar -> far -> ear -> ekar -> dkar -> dcar -> deear -> deedar -> dchdar -> dchdal -> dchedal -> dchedaiin -> dchedar -> dkedar -> dkedam -> okedam -> okchdam -> okchdaim
Voynich	5	cheoltain -> cheotain -> chetain -> cheytain -> dcheytain
Voynich	6	cheopaiin -> cheoraiin -> cheosaiin -> chosaiin -> choraiin -> chforaiin
Voynich	28	cheorol -> cheotol -> chotol -> chokol -> chokeol -> chokeal -> chokear -> chokeor -> chokchor -> chokor -> choko -> chokain -> cholkain -> dolkain -> dolky -> doky -> dcky -> dky -> dchy -> chy -> chp -> chpy -> chpchy -> chopchy -> chopcheey -> chopchey -> chepchey -> chepched
Voynich	4	chepar -> chepchar -> chepcham -> chypcham
Voynich	56	chetchey -> chotchey -> chotchdy -> chotchedy -> cholchedy -> dolchedy -> dolcheedy -> dolkeedy -> dolkedy -> dokedy -> dkedy -> dedy -> ddy -> dckhy -> ckhy -> ckhs -> cs -> cl -> cthl -> cthe -> ctheo -> ctheod -> ctheol -> ctheos -> cpheos -> cphos -> cpho -> cphod -> cphody -> cphochy -> ckhochy -> ckhockhy -> ckhocthy -> ckholy -> ckholsy -> olsy -> oeesy -> cpheesy -> eesy -> chsy -> chry -> chory -> chorain -> choro -> chopo -> chopcho -> chopchol -> chofchol -> chotchol -> chotcheol -> choteol -> choteoly -> choteody -> chotedy -> chetedy -> chetejy
Voynich	28	chetcho -> chotcho -> chotchs -> chots -> chot -> chom -> chon -> on -> een -> ee -> e -> ed -> dd -> dg -> dgr -> dlr -> dl -> del -> deol -> dcheol -> dcheor -> dchdor -> dchor -> dchod -> dainod -> dlod -> dlchd -> chlchd
Voynich	16	chkalchy -> okalchy -> okalchdy -> kalchdy -> kalchedy -> kolchedy -> kolchdy -> kolcheey -> kolchey -> dolchey -> doleeey -> oleeey -> odeeey -> deeey -> dchey -> dainchey
Voynich	28	chkchdar -> kchdar -> fchdar -> ofchdar -> ofchar -> ochar -> kchar -> kar -> kag -> kaiin -> ckaiin -> ckal -> kal -> eeal -> eeol -> cphol -> cphom -> cthom -> ctho -> cthod -> cthodd -> cthody -> cthhody -> hody -> dody -> dchody -> dcholdy -> dcheoldy
Voynich	13	chkeaiin -> keaiin -> deaiin -> dkaiin -> dlaiin -> dlal -> ddal -> doal -> doaiin -> dodaiin -> dchodaiin -> dcheodaiin -> dcheoaiin
Voynich	27	chkeeod -> keeod -> kchod -> fchod -> fchd -> fchee -> fcheeo -> fcheey -> fchoy -> fcho -> fchol -> fcheol -> fchedol -> tchedol -> tchedal -> lchedal -> lchdal -> kchdal -> kchal -> kchaiin -> fchaiin -> fcham -> fchom -> dchom -> dchos -> dcheeos -> dcheeckhos
Voynich	9	chkorchy -> chorchy -> chordy -> chorly -> choraly -> chofaly -> chofary -> chokary -> chokaro
Voynich	10	chkorol -> chorol -> cholol -> cholols -> chololy -> cholody -> chorody -> chotody -> choteedy -> choeteedy
Voynich	69	chlaiiin -> laiiin -> laiin -> haiin -> oaiin -> koaiin -> keeaiin -> keear -> keedar -> kedar -> eeedar -> shedar -> pshedar -> pchedar -> kchedar -> kcheodar -> kcheodaiin -> keodaiin -> eeeodaiin -> eeodaiin -> keeodaiin -> keeodal -> deeodal -> dshodal -> dshedal -> dsheedal -> sheedal -> keedal -> kedal -> kedaiin -> kchdaiin -> kodaiin -> kodam -> cthodam -> cthodaim -> qodaim -> qodaiiin -> odaiiin -> ldaiiin -> ldaiin -> lchdaiin -> leedaiin -> lodaiin -> loaiin -> lkaiin -> lkaiiin -> lkair -> dkair -> dchair -> doair -> doiir -> doir -> doiiin -> diiin -> doiin -> do -> dm -> dom -> dod -> dld -> dls -> dlls -> dlos -> dtos -> chtos -> chteos -> chteor -> chteeor -> chseeor
Voynich	16	choetchy -> choetey -> chotey -> choteeey -> choteeeb -> oteeeb -> oeeeb -> oeeed -> eeed -> eee -> eeer -> cther -> cthes -> ctheees -> cthees -> ctheeb
Voynich	10	chokan -> dokan -> dokal -> dlkal -> dalkal -> dalchal -> daldal -> daldaiin -> daldar -> dalkar
Voynich	10	chokchaiin -> chokoaiin -> chokoiin -> choroiin -> doroiin -> doraiin -> dolaiin -> dolas -> dolds -> dolchds
Voynich	127	chokedal -> okedal -> lkedal -> lkchdal -> okchdal -> okchal -> okal -> eeokal -> eeokol -> okol -> dkol -> dshol -> chshol -> chtol -> chtal -> chotal -> chotag -> chotar -> chopar -> chorar -> chosar -> dosar -> dodar -> cthodar -> cthodal -> cphodal -> cphodol -> cthodol -> cthoshol -> oshol -> kshol -> keeol -> keeeol -> kcheol -> kcheo -> kche -> kch -> k -> f -> fc -> hc -> hain -> he -> hey -> cthey -> cthy -> cphy -> dy -> dcthy -> deey -> deedy -> deeedy -> deeety -> eeety -> eeedy -> edy -> eedy -> eeckhy -> eeey -> dey -> desh -> kesh -> ke -> kain -> dkain -> dykain -> dyky -> chyky -> chydy -> chyd -> chyt -> chyty -> chyteey -> chteey -> chtchy -> chtchey -> chpchey -> chpcheey -> opcheey -> ocheey -> kcheey -> ckcheey -> qkcheey -> qkeey -> dkeey -> dksheey -> dkshey -> dkshy -> dshy -> chshy -> choshy -> chotshy -> chotshe -> otshe -> ote -> oke -> ok -> o -> eeo -> eeor -> cthor -> cthog -> cthoj -> cthol -> cthold -> ctholdg -> ctholdy -> ctholy -> cthochy -> cthorchy -> cthory -> ckhory -> dory -> dary -> daly -> cthdaly -> ldaly -> laly -> kaly -> kald -> kard -> dard -> darchd -> darchdy -> darchedy -> darchey -> dairchey
Voynich	23	chokeedam -> okeedam -> okeeam -> okam -> kam -> kas -> fas -> ofas -> odas -> lodas -> lodar -> eodar -> ckheodar -> cpheodar -> keodar -> keeodar -> kodar -> kodary -> koary -> cthoary -> cthorary -> korary -> korare
Voynich	10	chokeeoky -> qokeeoky -> qokeeody -> okeeody -> keeody -> ckheeody -> eeody -> eeeody -> deody -> decthdy
Voynich	29	chokees -> okees -> kees -> ees -> cths -> cthos -> cthols -> ctholo -> cthoctho -> doctho -> dolo -> dold -> dchold -> dcholy -> dchoty -> dcheoty -> dcheocy -> dcheoky -> tcheoky -> tcheody -> etcheody -> ltcheody -> lcheody -> fcheody -> fcheeody -> fchody -> fchoky -> fcholy -> fchdly
Voynich	65	chokshor -> okshor -> kshor -> dshor -> ddor -> dor -> doee -> doeey -> dockhy -> doly -> dly -> dlchy -> dpchy -> cpchy -> cpeey -> cpy -> cty -> ctchy -> ctchey -> ctey -> chtey -> chtedy -> chteody -> chtody -> chtod -> chtoiin -> chtaiin -> chtam -> ltam -> lam -> lag -> lal -> lainal -> lchal -> lcham -> kcham -> kchan -> kchoan -> kchoar -> kchor -> fchor -> fchos -> kchos -> kcheeos -> kcheeor -> kcheor -> kcheos -> dcheos -> dsheos -> dsheeos -> dsheeo -> dsheey -> dshdy -> dshedy -> deshedy -> dlshedy -> lshedy -> fshedy -> fsheda -> sheda -> ckheda -> oeda -> oda -> hda -> hdai
Voynich	14	cholainy -> choleey -> cholfy -> cholfchy -> choldchy -> choldshy -> toldshy -> toldy -> koldy -> koddy -> kodeey -> kody -> kchdy -> kchdpy
Voynich	12	cholalaiin -> olalaiin -> okalaiin -> okadaiin -> okaraiin -> okaral -> karal -> daral -> darala -> darall -> daraly -> daraldy
Voynich	4	cholam -> cholcham -> cholchom -> cholcthom
Voynich	13	cholckhhy -> olckhhy -> ockhhy -> ockheey -> ockhey -> ochey -> kchey -> kchedy -> kcheedy -> eecheedy -> lcheedy -> lchedy -> lchcphedy
Voynich	18	choldam -> choltam -> choltaiin -> oltaiin -> ltaiin -> etaiin -> epaiin -> lpaiin -> lpar -> chpar -> chpchar -> opchar -> okchar -> okar -> lkar -> lar -> dlar -> ddlar
Voynich	5	cholfor -> cholkor -> cholkar -> kolkar -> kaolkar
Voynich	40	cholkchy -> dolkchy -> olkchy -> lkchy -> kchy -> kchain -> kchee -> kcheed -> keed -> ked -> keds -> kedy -> ekedy -> ekey -> ekshy -> eky -> ety -> et -> eo -> eoiin -> eol -> eold -> fold -> fol -> folr -> folor -> dolor -> dokor -> doror -> daror -> dairor -> dairar -> dairam -> daram -> darar -> darary -> dalary -> dalory -> dalody -> daloky
Voynich	15	cholkeeey -> olkeeey -> lkeeey -> keeey -> keechey -> kechey -> kechdy -> kechedy -> kechody -> kchody -> ekchody -> okchody -> ochody -> lchody -> lchiody
Voynich	16	cholkshedy -> olkshedy -> lkshedy -> kshedy -> keeedy -> keedy -> keechy -> kechy -> keoy -> kchoy -> kchky -> kcheeky -> dcheeky -> dchyky -> dchydy -> dchyd
Voynich	36	cholp -> qolp -> qol -> hol -> heol -> keol -> kel -> keel -> keem -> keeo -> kcho -> kchg -> lchg -> lch -> l -> g -> giin -> gm -> lm -> lain -> lchain -> lchdain -> ldain -> ld -> ldo -> ldol -> eedol -> eedor -> keedor -> keeor -> keeos -> eeos -> eees -> deees -> deeeo -> deeeod
Voynich	27	cholpchd -> solpchd -> solchd -> sold -> old -> od -> hod -> ho -> hoo -> hox -> hx -> hy -> eey -> eery -> ory -> kory -> kary -> fary -> ofary -> ofar -> lfar -> lchar -> lchear -> lchea -> lcheal -> lcheam -> lchedam
Voynich	17	cholsheody -> olsheody -> lsheody -> dsheody -> dsheoy -> dsheckhy -> dshey -> dshe -> dsheo -> dsheog -> dsheol -> dsheor -> psheor -> pcheor -> chpcheor -> chpcheod -> chopcheod
Voynich	3	cholshey -> kolshey -> keeolshey
Voynich	18	cholsho -> olsho -> lsho -> dsho -> dshoy -> dshody -> dsheedy -> lsheedy -> lkeedy -> lkchdy -> lfchdy -> lfchedy -> lfcheedy -> lpcheedy -> lpchedy -> dpchedy -> dychedy -> dycheckhy
Voynich	23	choolkeey -> qoolkeey -> qolkeey -> olkeey -> lkeey -> keey -> kcy -> key -> ey -> ep -> es -> ds -> dr -> chr -> lchr -> lchl -> lcheel -> lcheey -> lchckhy -> lcheckhy -> lcheckhey -> dcheckhey -> ycheckhey
Voynich	18	choor -> chotor -> choto -> chotain -> chtain -> chtl -> otl -> oal -> oam -> oar -> loar -> ldar -> ldam -> lkam -> lkal -> lkeal -> lkealy -> lkchaly
Voynich	34	chopchal -> opchal -> olchal -> olal -> ocphal -> octhal -> octham -> ocham -> ochaiin -> ochoaiin -> okoaiin -> okaiin -> kokaiin -> koraiin -> koroiin -> kooiin -> koiin -> kiin -> iiin -> i -> iin -> in -> m -> n -> p -> op -> oain -> coain -> koain -> ko -> keo -> keeeo -> keeed -> keeeyd
Voynich	18	chopdain -> qopdain -> qodain -> odain -> octhain -> octho -> ocho -> ochol -> lchol -> lchdol -> lcheol -> lcheo -> lched -> lchedo -> lchedor -> lchedr -> lcheor -> lcheeor
Voynich	13	chopol -> opol -> ockhol -> octhol -> octheol -> ocheol -> ocheal -> ochedal -> ochedar -> okedar -> lkedar -> lkeedar -> lkeedas
Voynich	7	chorcheor -> chorchor -> orchor -> ochor -> fochor -> fchochor -> fchocthor
