target_a	target_b	control_rank	control_a	control_b	distance	js_similarity	weighted_overlap	jaccard_support_overlap	observations_a	observations_b	reliability
x004719	x010526	3	x004472	x007926	8	0.30553994416330676	0.2408220794545693	0.112	263	116	1
x004719	x010526	3	x004472	x007926	9	0.2661137122546722	0.20889602727153533	0.09505703422053231	263	116	1
x004719	x010526	3	x004472	x007926	10	0.35225518311790793	0.26261964074996724	0.13333333333333333	263	116	1
x004719	x010526	3	x004472	x007926	11	0.27506683162112033	0.2116821817228268	0.099601593625498	263	116	1
x004719	x010526	3	x004472	x007926	12	0.2984518605871588	0.22207289891176094	0.1111111111111111	263	116	1
x004719	x010526	3	x004472	x007926	13	0.2668679291555165	0.2114199554215288	0.10545454545454545	263	116	1
x004719	x010526	3	x004472	x007926	14	0.28833122909247355	0.2162383637078799	0.12167300380228137	263	116	1
x004719	x010526	3	x004472	x007926	15	0.29312786850456707	0.22967746164940347	0.1067193675889328	263	116	1
x004719	x010526	3	x004472	x007926	16	0.29769390322751377	0.2253835059656484	0.11923076923076924	263	116	1
x004719	x010526	3	x004472	x007926	17	0.33380886394340903	0.2611118395175037	0.1322314049586777	263	116	1
x004719	x010526	3	x004472	x007926	18	0.34125771598010046	0.24868886849350988	0.13114754098360656	263	116	1
x004719	x010526	3	x004472	x007926	19	0.2618066792644812	0.2116821817228268	0.09125475285171103	263	116	1
x004719	x010526	3	x004472	x007926	20	0.30102608710324785	0.2256129539792842	0.12213740458015267	263	116	1
x004718	x010526	1	x004472	x004985	1	0.019930498147119224	0.015151515151515152	0.012345679012345678	264	229	1
x004718	x010526	1	x004472	x004985	2	0.3180799234474193	0.2402739182215165	0.11627906976744186	264	229	1
x004718	x010526	1	x004472	x004985	3	0.3624749764146348	0.28483525208416033	0.14726027397260275	264	229	1
x004718	x010526	1	x004472	x004985	4	0.33173513654455133	0.2572118565568346	0.13442622950819672	264	229	1
x004718	x010526	1	x004472	x004985	5	0.35488016728868266	0.28951634246394065	0.13815789473684212	264	229	1
x004718	x010526	1	x004472	x004985	6	0.3351330237310859	0.27115588196374224	0.12302839116719243	264	229	1
x004718	x010526	1	x004472	x004985	7	0.3545722050917792	0.2842246832815847	0.1157556270096463	263	229	1
x004718	x010526	1	x004472	x004985	8	0.2872128870990571	0.21928703073372416	0.102803738317757	263	229	1
x004718	x010526	1	x004472	x004985	9	0.36000539897631034	0.2999983396151229	0.13836477987421383	263	229	1
x004718	x010526	1	x004472	x004985	10	0.3378607317178155	0.2797084364155611	0.13213213213213212	263	229	1
x004718	x010526	1	x004472	x004985	11	0.4079140467254647	0.321267869892241	0.15333333333333332	263	229	1
x004718	x010526	1	x004472	x004985	12	0.34753582226159474	0.2692812193866539	0.13114754098360656	263	229	1
x004718	x010526	1	x004472	x004985	13	0.31162101925034935	0.2591528716356452	0.12166172106824925	263	229	1
