mechanism	corpus	replicates	token_order_bits	token_order_ci_lo	token_order_ci_hi	edge_order_bits	weighted_entropy	giant_component_fraction	exact_adjacent_repeat_rate	h1	h2	h3	h4	position_gain_bits	order_gain_bits	adjacent_near_rate	residual_adjacency	correlation_length_tokens	cluster_stability	within_cluster_drift	line_boundary_delta	topology
M4_STATE_K2_C	Doyle	5	0.832633647	0.816019057	0.849248238	0.250633206	0.957483479	0	6.10060451e-05	4.23445031	3.56678614	2.8433133	2.10734283	0.183716665	0.616648847	0.00645521725	-0.0239334035	0	0	0	0	NOT_COMPUTED
M4_STATE_K2_C	Longfellow	5	0.677791212	0.67255578	0.683026643	0.276038269	0.901095351	0	1.4645577e-05	4.27989804	3.54875727	2.76871031	1.94731058	0.169071354	0.647479356	0.00181400411	-0.0328791945	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_A	Astafiev	5	0.85189211	0.847694253	0.856089967	0.267999476	0.917492941	0	0.000370096225	4.4143665	3.93587311	3.05069704	1.92008769	0.0875668697	0.439170467	0.0156631707	-0.0171130548	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_A	Doyle	5	0.661986436	0.655588774	0.668384099	0.225408845	1.0056818	0	1.66380123e-05	4.34137498	3.83932464	3.11665579	2.23165807	0.109611541	0.464775087	0.0055511821	-0.00331343563	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_A	Longfellow	5	0.567523803	0.564812846	0.57023476	0.250400534	0.948345964	0	2.92911541e-05	4.39835686	3.84602283	3.03969445	2.05619977	0.0979091012	0.495674324	0.0019409844	-0.0012767251	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_B	Astafiev	5	0.850407361	0.84578603	0.855028692	0.116134642	0.917348557	0	0.000565718515	4.41495534	3.93631213	3.07497862	1.99836006	0.0881229044	0.439546474	0.0159120343	-0.018759035	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_B	Doyle	5	0.661611461	0.654508047	0.668714874	0.0669377394	1.00528754	0	3.88220287e-05	4.34146018	3.83886617	3.14650987	2.32120026	0.110272287	0.463522673	0.00465222581	-0.0102982441	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_B	Longfellow	5	0.583612807	0.575616504	0.591609111	0.0981536629	0.948005915	0	3.66139426e-05	4.39848639	3.84530348	3.06660776	2.13218391	0.0981513421	0.495157456	0.00167493046	-0.0104761567	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_C	Astafiev	5	0.92159897	0.907769797	0.935428144	0.125117881	0.917348978	0	0.000391244581	4.41456717	3.93044164	3.05226315	1.97387807	0.0877788979	0.445694724	0.0157444323	-0.018931717	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_C	Doyle	5	0.677328732	0.665385207	0.689272257	0.0716596158	1.00454568	0	6.65520492e-05	4.34220542	3.83495536	3.1388989	2.31205832	0.111088247	0.467802052	0.00486553747	-0.0100646124	0	0	0	0	NOT_COMPUTED
M4_STATE_K4_C	Longfellow	5	0.593792502	0.586053438	0.601531566	0.0994302642	0.946264763	0	2.19683656e-05	4.39830564	3.83830087	3.05070807	2.10846323	0.100950809	0.501103963	0.00161446366	-0.0108692815	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_A	Astafiev	5	0.535994621	0.530736874	0.541252368	0.180949779	0.944416096	0	0.000274928624	4.5012812	4.18015276	3.38358602	2.08345786	0.049143919	0.284793477	0.0154904899	-0.0175194162	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_A	Doyle	5	0.422388337	0.418538504	0.42623817	0.147405201	1.03194455	0	5.5460041e-05	4.43272992	4.0854703	3.42108484	2.36775658	0.068156871	0.293845961	0.00462683156	-0.00468482706	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_A	Longfellow	5	0.415948124	0.413215926	0.418680322	0.173457589	0.971170453	0	2.19683656e-05	4.49901052	4.1206479	3.35791575	2.17073118	0.0619557062	0.316791763	0.00174749063	-0.00284923723	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_B	Astafiev	5	0.534011698	0.526504755	0.541518641	0.052710618	0.945247394	0	0.000401818759	4.50171396	4.18121102	3.40490486	2.17850811	0.0471758977	0.283704619	0.0154295437	-0.0184388841	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_B	Doyle	5	0.418903367	0.415610159	0.422196574	0.0330397399	1.03193403	0	8.31900616e-05	4.43145102	4.08466023	3.44229975	2.46847298	0.0675344112	0.291218699	0.00434241601	-0.00766672801	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_B	Longfellow	5	0.430513211	0.425300354	0.435726067	0.0635071145	0.97160109	0	2.19683656e-05	4.49816825	4.11877781	3.3772241	2.25913869	0.0623791892	0.320154628	0.0016628371	-0.00556491262	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_C	Astafiev	5	0.644486477	0.633757332	0.655215622	0.0581765038	0.944646902	0	0.000354234958	4.50183354	4.17701255	3.38329912	2.14768856	0.0481109828	0.285585021	0.015419386	-0.0183068015	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_C	Doyle	5	0.439806226	0.433511459	0.446100994	0.0303636075	1.03120489	0	4.99140369e-05	4.43361224	4.08468717	3.43497484	2.45526028	0.0692568299	0.295772073	0.00432210061	-0.00801216406	0	0	0	0	NOT_COMPUTED
M4_STATE_K8_C	Longfellow	5	0.449958691	0.445317722	0.45459966	0.05573346	0.970463668	0	4.39367311e-05	4.49995059	4.11575974	3.35891335	2.22606777	0.0628596265	0.321730395	0.00142096989	-0.00661725553	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N20	Astafiev	5	0.022452422	0.0212109959	0.0236938481	0.0197232887	0.977269976	0	0.000475838004	4.59191401	4.50219571	4.34369745	3.11649206	-0.000142259797	0.0445221239	0.0185987455	-0.0175963269	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N20	Doyle	5	-0.0605012399	-0.0632366949	-0.057765785	0.00493956321	1.07557261	0	0.000859630636	4.52544467	4.4160579	4.18997258	3.04975047	-0.000403945735	0.0355376587	0.0130221692	-0.00680511048	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N20	Longfellow	5	-0.0341145129	-0.0378981393	-0.0303308865	0.00288770303	1.01193237	0	0.00133274751	4.59395977	4.50069051	4.2188583	2.80340391	-0.000563660206	0.0324448034	0.00736485669	-0.0124313147	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N5	Astafiev	5	0.0216779482	0.0188975295	0.0244583669	0.0184121809	0.977340184	0	0.000475838004	4.59194054	4.50269406	4.34706489	3.13199329	6.73898038e-05	0.0447252022	0.0182838569	-0.0146904891	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N5	Doyle	5	-0.0551484859	-0.0585190341	-0.0517779377	0.0099917008	1.07562265	0	0.000654428484	4.52545639	4.4163612	4.19418651	3.06731229	-0.000120056023	0.037647691	0.0114172529	0.00226307454	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N5	Longfellow	5	-0.0335113737	-0.0348735692	-0.0321491782	0.00633390957	1.01208989	0	0.00110574107	4.59408606	4.50121565	4.22782763	2.85440615	-0.000306727012	0.0338589249	0.00648808804	0.00292562395	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N80	Astafiev	5	0.0155587272	0.0128917667	0.0182256877	0.00966611361	0.977101037	0	0.000486412181	4.59172791	4.50006995	4.31618859	3.02260638	-0.00117771145	0.0386750519	0.0187307956	-0.0193083205	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N80	Doyle	5	-0.0583155481	-0.0620418656	-0.0545892305	0.000235272688	1.07525715	0	0.000842992624	4.52482306	4.41268485	4.17130961	3.00927933	-0.00256753301	0.0243355334	0.0131491404	-0.0152684364	0	0	0	0	NOT_COMPUTED
M5_DRIFT_N80	Longfellow	5	-0.0266313833	-0.0298577688	-0.0234049978	0.00326380385	1.01149737	0	0.00142794376	4.59286777	4.49477932	4.18019838	2.71617606	-0.0028450693	0.014022092	0.00763695731	-0.0231127327	0	0	0	0	NOT_COMPUTED
M6_MACRO_K2	Astafiev	5	1.08242196	1.07066104	1.09418288	0.139817151	0.869427394	0	0.000496986359	4.29688193	3.70308638	2.74817861	1.73429607	0.0588427579	0.440726132	0.0190609208	-0.0194303162	0	0	0	0	NOT_COMPUTED
M6_MACRO_K2	Doyle	5	0.665271382	0.659283735	0.67125903	0.048407174	0.966908081	0	0.000693250513	4.271263	3.59179021	2.81678533	2.07217545	0.0980474154	0.702651936	0.0129916961	-0.0172699244	0	0	0	0	NOT_COMPUTED
M6_MACRO_K2	Longfellow	5	0.556136003	0.552696477	0.559575529	0.0749083602	0.914517354	0	0.00142794376	4.32162101	3.58263231	2.7276089	1.89573104	0.0764774287	0.740853613	0.00762486395	-0.026850595	0	0	0	0	NOT_COMPUTED
M6_MACRO_K5	Astafiev	5	0.717461703	0.712421738	0.722501668	0.0898429747	0.927631451	0	0.000555144338	4.49169393	4.09682802	3.11959643	1.83961078	-0.0820429678	-0.576825067	0.0192996267	-0.0192932105	0	0	0	0	NOT_COMPUTED
M6_MACRO_K5	Doyle	5	0.413224131	0.410559152	0.41588911	0.0267322775	1.02595428	0	0.000826354612	4.41795134	3.96967463	3.19900432	2.20384439	-0.13151428	-0.758398227	0.0132354808	-0.0174325405	0	0	0	0	NOT_COMPUTED
M6_MACRO_K5	Longfellow	5	0.405170234	0.402721649	0.407618819	0.0451259465	0.966743033	0	0.00149384886	4.47605833	3.98582666	3.10342846	1.98010387	-0.128325649	-0.706356099	0.00767323739	-0.0269534297	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N20	Astafiev	5	0.0165827272	0.0138215166	0.0193439378	0.0201147901	0.977431786	0	0.000465263826	4.59214732	4.50311973	4.35207979	3.13919005	-0.000593658879	0.043080415	0.0186749283	-0.0174083839	0	0	0	0	NOT_COMPUTED
M7_MIXED_K2_N20	Doyle	5	-0.0588082851	-0.0622401016	-0.0553764687	0.00472237271	1.07571841	0	0.000870722644	4.52583233	4.41773062	4.1984553	3.06093572	-0.0010715093	0.032270729	0.0130018538	-0.00672382567	0	0	0	0	NOT_COMPUTED
