metadata	method	metric	scope	statistic	window_50_max_nmi	window_100_max_nmi	window_200_max_nmi	window_500_max_nmi	window_1000_max_nmi	observed	null_mean	null_median	null_sd	null_p95	null_p99	null_max	exceedances	empirical_p	permutations
currier	hierarchical	ARI	purity_0.8	mean_across_scales	0.02692972585771442	0.027672705166587104	0.0541624568782175	0.6093230283247476	0.7985270876163459	0.30332300076872254	0.20791283526332127	0.21450635949733615	0.06273666199241686	0.3117839086169636	0.3371327156006946	0.36985034706875924	603	0.0603939606039396	10000
currier	hierarchical	ARI	purity_0.8	min_across_scales	0.02692972585771442	0.027672705166587104	0.0541624568782175	0.6093230283247476	0.7985270876163459	0.02692972585771442	0.01080762978641637	0.00700643280133042	0.012452743833467643	0.03775844938655921	0.049290753505175346	0.06852709166228957	1235	0.12358764123587641	10000
currier	k_medoids	ARI	purity_0.8	mean_across_scales	0.5024629108333821	0.5859015319638097	0.7379996598566059	0.742513865358846	0.8437373969395361	0.6825230729904359	0.4085490504461366	0.43969985171581694	0.11885144220758188	0.5655548114281538	0.6084326265114304	0.7644768734450464	10	0.0010998900109989002	10000
currier	k_medoids	ARI	purity_0.8	min_across_scales	0.5024629108333821	0.5859015319638097	0.7379996598566059	0.742513865358846	0.8437373969395361	0.5024629108333821	0.2759624368905088	0.29157687106733066	0.08661920360949067	0.401612956469224	0.4484597294297966	0.552298306613683	4	0.0004999500049995	10000
currier	contiguous_segmentation	NMI	purity_0.9	mean_across_scales	0.7251985641075728	0.6841870536763008	0.7064629807509526	0.7585800892344601	0.8567491330431419	0.7462355641624857	0.530902590468425	0.5377217606431274	0.10544487175471805	0.6895919903500841	0.7262288583235788	0.7755627260749517	27	0.0027997200279972004	10000
currier	contiguous_segmentation	NMI	purity_0.9	min_across_scales	0.7251985641075728	0.6841870536763008	0.7064629807509526	0.7585800892344601	0.8567491330431419	0.6841870536763008	0.4604064175747839	0.461998971430844	0.0977032037352084	0.6153734699630746	0.6594527468505654	0.7441944781743804	26	0.0026997300269973002	10000
currier	hierarchical	NMI	purity_0.9	mean_across_scales	0.07313973067972125	0.09344660896735564	0.16396438113934378	0.7284807152327891	0.8225165578986113	0.3763095987835642	0.27413131320772005	0.28286310102286594	0.05340342751863492	0.3504705981071264	0.3700404170479155	0.3973959700839894	48	0.004899510048995101	10000
currier	hierarchical	NMI	purity_0.9	min_across_scales	0.07313973067972125	0.09344660896735564	0.16396438113934378	0.7284807152327891	0.8225165578986113	0.07313973067972125	0.05231770486080514	0.052114532729762436	0.010393642347546658	0.06990421051392601	0.0790046136881827	0.09464503421899009	298	0.029897010298970104	10000
currier	k_medoids	NMI	purity_0.9	mean_across_scales	0.47332428005944066	0.6136270725274634	0.7313197047770436	0.7473195523562208	0.8286271294666144	0.6788435478373566	0.43555801964501323	0.4526074536063656	0.08986779710760641	0.5589755287548622	0.5838603394630674	0.6764524558334879	0	9.999000099990002e-05	10000
currier	k_medoids	NMI	purity_0.9	min_across_scales	0.47332428005944066	0.6136270725274634	0.7313197047770436	0.7473195523562208	0.8286271294666144	0.47332428005944066	0.2544618705984442	0.26427811046031546	0.06890145194422849	0.35628422486584216	0.38614619399727196	0.48300350845256157	1	0.00019998000199980003	10000
currier	contiguous_segmentation	ARI	purity_0.9	mean_across_scales	0.6218170851360738	0.6008423671454365	0.6658717096405458	0.7422722224449412	0.7890658976624298	0.6839738564058854	0.46135584390534384	0.46146450709006354	0.13900569494712084	0.6799802756242453	0.7245640806825315	0.7861004406959511	458	0.0458954104589541	10000
currier	contiguous_segmentation	ARI	purity_0.9	min_across_scales	0.6218170851360738	0.6008423671454365	0.6658717096405458	0.7422722224449412	0.7890658976624298	0.6008423671454365	0.38729480928913484	0.38232918340638605	0.12262180129476163	0.5895326645113131	0.644361889545322	0.7289462253804286	386	0.038696130386961305	10000
currier	hierarchical	ARI	purity_0.9	mean_across_scales	0.026682242443232584	0.028333341428339532	0.05342488381229641	0.6404842932435267	0.7953511774307584	0.3088551876716307	0.216436280939454	0.22449586687438616	0.06605322478897428	0.3254470983432294	0.35064444773731146	0.37769861382620196	686	0.06869313068693131	10000
currier	hierarchical	ARI	purity_0.9	min_across_scales	0.026682242443232584	0.028333341428339532	0.05342488381229641	0.6404842932435267	0.7953511774307584	0.026682242443232584	0.010949150181473188	0.007149136337151979	0.0125412967194327	0.038392231825818204	0.049358895562351346	0.06667751846608298	1283	0.12838716128387162	10000
