block_a	block_b	edges_a	edges_b	intersection	edge_jaccard	degree_rank_correlation	scc_overlap
G3/generic#0	G0/generic#8	38	22	18	0.4285714286	0.6468877023	0
G3/generic#0	G1/generic#8	38	27	20	0.4444444444	0.5809616233	0
G3/generic#0	G2/generic#8	38	15	11	0.2619047619	0.4512237677	0
G3/generic#0	G3/generic#8	38	33	22	0.4489795918	0.6513865353	0
G3/generic#0	G0/generic#9	38	19	12	0.2666666667	0.4098839163	0
G3/generic#0	G1/generic#9	38	29	21	0.4565217391	0.6469179535	0
G3/generic#0	G2/generic#9	38	38	29	0.6170212766	0.7293056594	0
G3/generic#0	G3/generic#9	38	43	30	0.5882352941	0.7315140739	0
G3/generic#0	G0/generic#10	38	39	23	0.4259259259	0.6238382838	0
G3/generic#0	G1/generic#10	38	24	16	0.347826087	0.5773881798	0
G3/generic#0	G2/generic#10	38	23	19	0.4523809524	0.6066918123	0
G3/generic#0	G3/generic#10	38	48	26	0.4333333333	0.5839648179	0
G3/generic#0	G0/generic#11	38	41	25	0.462962963	0.6666347705	0
G3/generic#0	G1/generic#11	38	26	16	0.3333333333	0.4831524552	0
G3/generic#0	G2/generic#11	38	37	15	0.25	0.3279163732	0
G3/generic#0	G3/generic#11	38	50	29	0.4915254237	0.6324327305	0
G3/generic#0	G0/generic#12	38	46	31	0.5849056604	0.7097949508	0
G3/generic#0	G1/generic#12	38	33	22	0.4489795918	0.6440975271	0
G3/generic#0	G2/generic#12	38	38	24	0.4615384615	0.6281392892	0
G3/generic#0	G3/generic#12	38	52	33	0.5789473684	0.7278330815	0
G3/generic#0	G0/generic#13	38	43	28	0.5283018868	0.6500812772	0
G3/generic#0	G1/generic#13	38	50	31	0.5438596491	0.7111725179	0
G3/generic#0	G2/generic#13	38	31	24	0.5333333333	0.723923988	0
G3/generic#0	G3/generic#13	38	33	19	0.3653846154	0.6102578163	0
G3/generic#0	G0/generic#14	38	53	31	0.5166666667	0.6833527193	0
G3/generic#0	G1/generic#14	38	40	19	0.3220338983	0.483889941	0
