sequence	n	canonical_occurrences	eligible_occurrences	physical_blocks	joint_classes	currier_classes	hands	max_block_fraction	block_entropy_bits	classification	token_validity	canonical_token_occurrences	contains_question	contains_at	contains_other_nonstandard_marker	absent_tokens
x000013 x000076	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	182,92	false	false	true	
x000013 x000111	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	182,50	false	false	true	
x000013 x000135	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	182,53	false	false	true	
x000013 x000140	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	182,46	false	false	true	
x000013 x000672	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	182,9	false	false	true	
x000014 x000112	2	4	4	4	3	3	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	166,57	false	false	true	
x000014 x000134	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	166,50	false	false	true	
x000014 x000136	2	5	5	5	3	3	1	0.2	2.321928094887362	GROUP_CONSISTENT	ambiguous-transcription	166,47	false	false	true	
x000014 x000138	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	166,54	false	false	true	
x000014 x000313	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	166,15	false	false	true	
x000015 x000007	2	4	4	4	2	2	1	0.25	2	GROUP_CONSISTENT	ambiguous-transcription	177,281	false	false	true	
x000015 x000063	2	3	3	3	2	2	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	177,106	false	false	true	
x000016 x000008	2	3	3	3	3	3	1	0.3333333333333333	1.584962500721156	GROUP_CONSISTENT	ambiguous-transcription	163,174	false	false	true	
