window_size	method	k	representation	windows	silhouette	within_dispersion	between_dispersion	cluster_size_entropy	smallest_cluster_fraction
500	k_medoids	2	standardized	270	0.44392606235575677	63760.34903342361	114301.49477069307	0.6924611526112329	0.48148148148148145
500	k_medoids	3	standardized	270	0.3769393960884511	60105.53521976456	109277.82144193327	1.0192708051408392	0.2
500	k_medoids	4	standardized	270	0.33142987708203514	56228.04750890593	106771.00739758545	1.2182066572360775	0.06666666666666667
500	k_medoids	5	standardized	270	0.3678818341432305	56607.7705370577	106783.17599300874	1.3443611449163348	0.09259259259259259
500	k_medoids	6	standardized	270	0.33116950869320894	52893.57504724441	104843.74888381887	1.543296997011573	0.06666666666666667
500	k_medoids	7	standardized	270	0.32731093155767854	51494.315651292585	104811.09448244784	1.566790240653222	0.02962962962962963
500	k_medoids	8	standardized	270	0.33292575398531016	50067.930001762164	104224.28896648581	1.6794482289093444	0.02962962962962963
500	k_medoids	9	standardized	270	0.3638626736140822	48317.017982494275	103900.2305933033	1.7847304785275713	0.040740740740740744
500	k_medoids	10	standardized	270	0.3750071901862573	47050.43148007809	103570.7380680193	1.8722136632650583	0.044444444444444446
500	k_medoids	11	standardized	270	0.370331560289078	45770.99410398893	103397.21993863225	1.910668742123915	0.02962962962962963
500	k_medoids	12	standardized	270	0.380462657466613	44984.41799727538	103143.81966553359	1.9754963165737156	0.03333333333333333
500	k_medoids	13	standardized	270	0.37469118647538197	44435.9971456585	103053.41984319348	2.0186469163523197	0.025925925925925925
500	k_medoids	14	standardized	270	0.37352750952787345	43670.41991882415	102979.15519862654	2.055109479632122	0.022222222222222223
500	k_medoids	15	standardized	270	0.3847900928453732	42544.23394980343	102818.6137349279	2.1106344004959015	0.022222222222222223
50	hierarchical	2	raw	4059	0.16991123294677937	0.22101369228735557	0.2661153716130685	0.024385778601854778	0.003695491500369549
50	hierarchical	3	raw	4059	0.1107721200115091	0.22069070133354754	0.2594885707708091	0.04737143764641599	0.0034491254003449125
50	hierarchical	4	raw	4059	0.053214369392213266	0.22053560190391974	0.251662256476623	0.06894188592010413	0.003202759300320276
50	hierarchical	5	raw	4059	0.03525857743188019	0.22045420824546366	0.24590859637136464	0.08908050777682494	0.0029563932002956393
50	hierarchical	6	raw	4059	0.0325571580628608	0.2201836343849894	0.24606524498691779	0.12010817735242828	0.0029563932002956393
50	hierarchical	7	raw	4059	0.031637977884436015	0.22010611304745167	0.2430374625469418	0.1295689152973316	0.001231830500123183
50	hierarchical	8	raw	4059	0.027508355828908617	0.22006464156887237	0.24037174323332547	0.14968013892896664	0.001231830500123183
50	hierarchical	9	raw	4059	0.02308972758623806	0.22002050944376617	0.23839619536016007	0.17398196731077745	0.001231830500123183
50	hierarchical	10	raw	4059	0.021305537728788772	0.2199245438744145	0.23738852541477856	0.19549052841804496	0.001231830500123183
50	hierarchical	11	raw	4059	0.025622191211607984	0.2196738328102522	0.23799693706740957	0.21838560566131243	0.001231830500123183
50	hierarchical	12	raw	4059	0.02775166610689931	0.21955847273972928	0.2373345285895795	0.2384563813968155	0.001231830500123183
50	hierarchical	13	raw	4059	0.03063227916487776	0.2194672190539952	0.23658610429503274	0.2613291434628607	0.001231830500123183
