scheme	class	window_size	method	k	cluster	held_out_separation	cv_folds	blocks_containing	total_blocks	block_fraction	eligible_blocks_for_scale	recurrence_strength	cross_block_similarity
currier_only	X	100	k_medoids	10	0	0.025934534344629216	2	2	2	1	2	1	0.28977341670205925
currier_only	X	100	k_medoids	10	1	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	2	0.025934534344629216	2	2	2	1	2	1	0.33669438171267374
currier_only	X	100	k_medoids	10	3	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	4	0.025934534344629216	2	2	2	1	2	1	0.26254149069086474
currier_only	X	100	k_medoids	10	5	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	6	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	7	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	8	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	100	k_medoids	10	9	0.025934534344629216	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	0	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	1	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	2	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	3	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	4	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	hierarchical	6	5	0.018755159341473836	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	0	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	1	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	2	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	3	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	4	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	200	k_medoids	6	5	0.017646663276051824	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	0	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	1	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	2	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	3	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	4	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	5	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	6	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	7	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	8	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	hierarchical	10	9	0.028705344670177955	2	1	2	0.5	2	0.5	0
currier_only	X	50	k_medoids	10	0	0.03317674158626459	2	2	2	1	2	1	0.314905473292973
currier_only	X	50	k_medoids	10	1	0.03317674158626459	2	2	2	1	2	1	0.22153973341961286
currier_only	X	50	k_medoids	10	2	0.03317674158626459	2	2	2	1	2	1	0.34790589030011254
currier_only	X	50	k_medoids	10	3	0.03317674158626459	2	1	2	0.5	2	0.5	0
currier_only	X	50	k_medoids	10	4	0.03317674158626459	2	1	2	0.5	2	0.5	0
currier_only	X	50	k_medoids	10	5	0.03317674158626459	2	2	2	1	2	1	0.33965507275484075
currier_only	X	50	k_medoids	10	6	0.03317674158626459	2	1	2	0.5	2	0.5	0
currier_only	X	50	k_medoids	10	7	0.03317674158626459	2	2	2	1	2	1	0.17087403545578816
currier_only	X	50	k_medoids	10	8	0.03317674158626459	2	2	2	1	2	1	0.20179738934434133
currier_only	X	50	k_medoids	10	9	0.03317674158626459	2	1	2	0.5	2	0.5	0
hand_only	1	100	hierarchical	2	0	0.1878217310567664	13	12	13	0.9230769230769231	13	0.9230769230769231	0.3786428281298716
hand_only	1	100	hierarchical	2	1	0.1878217310567664	13	1	13	0.07692307692307693	13	0.07692307692307693	0
hand_only	1	100	k_medoids	4	0	0.08250180079551736	13	4	13	0.3076923076923077	13	0.3076923076923077	0.45147837133123647
hand_only	1	100	k_medoids	4	1	0.08250180079551736	13	1	13	0.07692307692307693	13	0.07692307692307693	0
hand_only	1	100	k_medoids	4	2	0.08250180079551736	13	11	13	0.8461538461538461	13	0.8461538461538461	0.35642356836042965
hand_only	1	100	k_medoids	4	3	0.08250180079551736	13	1	13	0.07692307692307693	13	0.07692307692307693	0
hand_only	1	1000	hierarchical	2	0	0.13437171826880026	3	1	13	0.07692307692307693	3	0.3333333333333333	0
hand_only	1	1000	hierarchical	2	1	0.13437171826880026	3	2	13	0.15384615384615385	3	0.6666666666666666	0.5326009038505594
hand_only	1	1000	k_medoids	2	0	0.13437171826880026	3	1	13	0.07692307692307693	3	0.3333333333333333	0
hand_only	1	1000	k_medoids	2	1	0.13437171826880026	3	2	13	0.15384615384615385	3	0.6666666666666666	0.5326009038505594
hand_only	1	200	hierarchical	10	0	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	1	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	2	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	3	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	4	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	5	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	6	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	7	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	8	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	hierarchical	10	9	0.04774471183454612	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	0	0.0801983842359452	9	7	13	0.5384615384615384	9	0.7777777777777778	0.39176841486618585
hand_only	1	200	k_medoids	9	1	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	2	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	3	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	4	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	5	0.0801983842359452	9	3	13	0.23076923076923078	9	0.3333333333333333	0.43883001354069384
hand_only	1	200	k_medoids	9	6	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	7	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	200	k_medoids	9	8	0.0801983842359452	9	1	13	0.07692307692307693	9	0.1111111111111111	0
hand_only	1	50	hierarchical	2	0	0.15940407977024318	13	13	13	1	13	1	0.34971173210882767
hand_only	1	50	hierarchical	2	1	0.15940407977024318	13	1	13	0.07692307692307693	13	0.07692307692307693	0
hand_only	1	50	k_medoids	3	0	0.062372116576229916	13	9	13	0.6923076923076923	13	0.6923076923076923	0.24961065302659424
hand_only	1	50	k_medoids	3	1	0.062372116576229916	13	12	13	0.9230769230769231	13	0.9230769230769231	0.3378340237630112
hand_only	1	50	k_medoids	3	2	0.062372116576229916	13	1	13	0.07692307692307693	13	0.07692307692307693	0
hand_only	1	500	hierarchical	4	0	0.11176792760970981	6	3	13	0.23076923076923078	6	0.5	0.5414240124295242
hand_only	1	500	hierarchical	4	1	0.11176792760970981	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	hierarchical	4	2	0.11176792760970981	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	hierarchical	4	3	0.11176792760970981	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	k_medoids	6	0	0.09735151636070366	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	k_medoids	6	1	0.09735151636070366	6	3	13	0.23076923076923078	6	0.5	0.5414240124295242
hand_only	1	500	k_medoids	6	2	0.09735151636070366	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	k_medoids	6	3	0.09735151636070366	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	k_medoids	6	4	0.09735151636070366	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	1	500	k_medoids	6	5	0.09735151636070366	6	1	13	0.07692307692307693	6	0.16666666666666666	0
hand_only	2	100	hierarchical	9	0	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	1	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	2	0.03767270650657777	11	4	11	0.36363636363636365	11	0.36363636363636365	0.42918970972788684
hand_only	2	100	hierarchical	9	3	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	4	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	5	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	6	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	hierarchical	9	7	0.03767270650657777	11	2	11	0.18181818181818182	11	0.18181818181818182	0.40562255838982153
hand_only	2	100	hierarchical	9	8	0.03767270650657777	11	1	11	0.09090909090909091	11	0.09090909090909091	0
hand_only	2	100	k_medoids	3	0	0.05655265701790608	11	6	11	0.5454545454545454	11	0.5454545454545454	0.291667234377451
