token	block	direction	conditional_entropy	effective_successor_predecessor_count	baseline_entropy	entropy_effect	eligible
cthey	1/1#0	incoming	6.260510423	523.4860712	5.215136627	1.045373796	true
ctho	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
cthol	1/1#0	incoming	6.238848646	512.2683693	5.215136627	1.02371202	true
cthor	1/1#0	incoming	6.210794384	498.0967744	5.215136627	0.9956577574	true
cthy	1/1#0	incoming	6.149284765	468.3822633	5.215136627	0.9341481377	true
d	1/1#0	incoming	6.265096653	525.8924127	5.215136627	1.049960026	true
daiiin	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
daiin	1/1#0	incoming	5.962088874	388.4206392	5.215136627	0.7469522472	true
dain	1/1#0	incoming	6.218238104	501.8183011	5.215136627	1.003101477	true
dair	1/1#0	incoming	6.271460555	529.2498123	5.215136627	1.056323928	true
dal	1/1#0	incoming	6.245948288	515.9182322	5.215136627	1.030811661	true
dam	1/1#0	incoming	6.255846428	521.0502197	5.215136627	1.040709801	true
dan	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
dar	1/1#0	incoming	6.231895899	508.7190496	5.215136627	1.016759272	true
dchor	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
dchy	1/1#0	incoming	6.269311143	528.1134581	5.215136627	1.054174517	true
do	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
dol	1/1#0	incoming	6.246587135	516.2479304	5.215136627	1.031450508	true
dor	1/1#0	incoming	6.243118932	514.460579	5.215136627	1.027982306	true
dy	1/1#0	incoming	6.173324388	479.7784274	5.215136627	0.9581877609	true
g	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
kaiin	1/1#0	incoming	6.257906638	522.124799	5.215136627	1.042770011	true
kchol	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
kchor	1/1#0	incoming	6.275845478	531.5756276	5.215136627	1.060708852	true
kchy	1/1#0	incoming	6.242852767	514.3236657	5.215136627	1.02771614	true
keey	1/1#0	incoming	6.2754305	531.3550806	5.215136627	1.060293873	true
kol	1/1#0	incoming	6.271460555	529.2498123	5.215136627	1.056323928	true
kor	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
ky	1/1#0	incoming	6.259907649	523.1706223	5.215136627	1.044771022	true
l	1/1#0	incoming	6.246315281	516.1076052	5.215136627	1.031178654	true
o	1/1#0	incoming	6.255036513	520.6283841	5.215136627	1.039899886	true
odaiin	1/1#0	incoming	6.262502151	524.5297521	5.215136627	1.047365524	true
oiin	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
okaiin	1/1#0	incoming	6.256398806	521.3381159	5.215136627	1.041262179	true
okal	1/1#0	incoming	6.273203889	530.173276	5.215136627	1.058067262	true
okchey	1/1#0	incoming	6.278081712	532.7656851	5.215136627	1.062945085	true
okchy	1/1#0	incoming	6.273638548	530.4037704	5.215136627	1.058501921	true
okol	1/1#0	incoming	6.268838004	527.8636461	5.215136627	1.053701377	true
oky	1/1#0	incoming	6.271006512	529.0095643	5.215136627	1.055869885	true
ol	1/1#0	incoming	6.247456645	516.6970079	5.215136627	1.032320018	true
or	1/1#0	incoming	6.222310996	503.8663207	5.215136627	1.007174369	true
